排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,3579562,16622,18533,76479,564531,30158,634358
2,BV1zCtA6mEay,https://www.bilibili.com/video/BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,单人RPG游戏,游戏,明日方舟,2026-08-29 11:00:00,196,4107482,30303,33594,52664,100457,146559,277035
3,BV1ZNtA6CExY,https://www.bilibili.com/video/BV1ZNtA6CExY,当你的资产缩水到A0层级，挑选优质桥洞的六大方案！,户外探险,户外潮流,手搓工坊M,2026-08-28 18:18:49,127,4329372,1669,9301,78134,7360,37034,273984
4,BV1GrtK62EfT,https://www.bilibili.com/video/BV1GrtK62EfT,《下一个是谁》恐怖特辑——无限循环的寺庙,UP主小综艺,小剧场,雨哥到处跑,2026-08-29 13:00:00,2929,2404701,33717,4879,63345,141950,8258,193128
5,BV1s7tK6AECw,https://www.bilibili.com/video/BV1s7tK6AECw,《小杨有约29#》：陈泽,UP主小综艺,小剧场,小杨Johnson,2026-08-29 14:00:00,681,2590722,14427,4973,58886,100919,10544,213039
6,BV1Bktc66EA7,https://www.bilibili.com/video/BV1Bktc66EA7,“无法善终的王。”,漫画·动态漫,二次元,Mr-Ferret,2026-08-28 14:30:44,119,2393082,1150,4733,38706,11822,3056,289473
7,BV1qH4U6iEEy,https://www.bilibili.com/video/BV1qH4U6iEEy,FALSITY…（完整版电影 / 官方正版),沙盒类,游戏,7xqree,2026-08-30 00:36:12,5453,860761,28420,12828,72420,45079,4334,131734
8,BV1Hy4k64Erk,https://www.bilibili.com/video/BV1Hy4k64Erk,华强见宋老虎 但是唱跳RAP 【多梦综合征】【AI音乐宇宙】,AI音乐,音乐,多梦综合征,2026-08-29 11:44:17,330,2166738,2632,3802,43688,71601,25441,147158
9,BV1iRtA6gEuc,https://www.bilibili.com/video/BV1iRtA6gEuc,立志成为恶兽第一集,AI影视,影视,立志成为恶兽,2026-08-28 16:02:43,164,1985158,962,3305,47201,29152,8404,188623
10,BV137tc6ZExx,https://www.bilibili.com/video/BV137tc6ZExx,这不是幻想,短剧短片,影视,7鲸尾,2026-08-28 17:30:00,353,2821025,3974,3046,32446,45128,3907,204183
11,BV1zG4d6dEka,https://www.bilibili.com/video/BV1zG4d6dEka,我在PVZ中添加了大果？？ 【bilibilionly同人扶持计划】,休闲/小游戏,游戏,咸威化,2026-08-28 11:00:00,132,5269950,2156,4763,23987,3672,16771,237806
12,BV16g4y6tEzY,https://www.bilibili.com/video/BV16g4y6tEzY,【大学生就业指导】麦当当薯条N重奏！200块买两斤土豆？不能够了！,美食制作,美食,阿白的金手指厨房,2026-08-29 18:00:42,294,1491147,425,1467,105618,9592,8393,132742
13,BV1iStA6CETt,https://www.bilibili.com/video/BV1iStA6CETt,搬空系列迎来了它最大一票,UP主小综艺,小剧场,李炮炮儿,2026-08-28 17:30:00,244,2082776,2094,3231,23401,98763,1470,202645
14,BV1td4o6LEFr,https://www.bilibili.com/video/BV1td4o6LEFr,⚡ 舞 立 方 . m p 4 ⚡,休闲玩乐,生活兴趣,沉默-_-微笑,2026-08-28 21:00:00,174,1518192,5077,2782,24941,17788,11325,201294
