排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
26,BV1tLth6rE1n,https://www.bilibili.com/video/BV1tLth6rE1n,他，凭什么成为中华民国的国父？【历史调研室105】,人文历史,知识,历史调研室,2026-08-31 17:35:55,1780,870613,1418,3240,22124,24929,3038,61230
27,BV1mK4X6AE1A,https://www.bilibili.com/video/BV1mK4X6AE1A,“佯作畏生惧死，身担太行脊梁”【赤伶DJ-变速】【少年脊梁の小曲】,电台·歌单,音乐,早睡起大王,2026-08-30 18:00:00,257,1796151,2059,2198,8447,5915,311,159394
28,BV1AvtW6yEan,https://www.bilibili.com/video/BV1AvtW6yEan,日语版《朋友的酒》citypop remix（空城计の小曲）,AI音乐,音乐,181319,2026-08-30 22:48:03,181,1710071,757,3214,28850,9692,17321,54481
29,BV1e6tb61ETL,https://www.bilibili.com/video/BV1e6tb61ETL,当你穿进老钱班34,剧情演绎,小剧场,侯绿萝,2026-08-31 13:09:12,192,1671107,586,574,6304,3412,985,103475
30,BV1q7t86nEfU,https://www.bilibili.com/video/BV1q7t86nEfU,雷霆大睡的狸,猫,动物,BoBo的摄影日记,2026-08-31 19:22:20,59,1211115,593,1863,24024,3646,10977,163520
31,BV1uut46FE2m,https://www.bilibili.com/video/BV1uut46FE2m,【OC动画】绝对不可以熬夜！除非你是小女仆🥺【魔女夜话小剧场】-bilibilionly同人扶持计划,同人动画,二次元,莉莉莉莉尔,2026-08-31 19:30:00,91,579882,161,562,44506,4438,1586,122277
32,BV1u8tt6eEea,https://www.bilibili.com/video/BV1u8tt6eEea,你们的厨艺真是差嘟嘟的,美食综合,美食,戈登拉姆齐Gordon,2026-08-31 18:00:00,34,1424348,727,4823,19390,3070,2534,160997
33,BV1o74y6XEcM,https://www.bilibili.com/video/BV1o74y6XEcM,一个人，耗时18个月，2万元成本，手搓94分钟以刘慈欣小说《山》为故事原型的AI仿真人科幻电影【ai全民制作人】#SpecialForAAIFF,AI影视,影视,野生锅导演,2026-08-29 17:51:39,5671,1737030,12190,7420,108321,112085,22570,154668
34,BV1k2t86hEuD,https://www.bilibili.com/video/BV1k2t86hEuD,这也能装？给车内塞一套工作站！小米澎程N90 Max用车体验！,汽车测评,汽车,苏打baka,2026-08-31 19:27:28,371,2908767,546,1015,14721,16668,1025,47660
35,BV1Hy4k64Erk,https://www.bilibili.com/video/BV1Hy4k64Erk,华强见宋老虎 但是唱跳RAP 【多梦综合征】【AI音乐宇宙】,AI音乐,音乐,多梦综合征,2026-08-29 11:44:17,330,3403696,4018,5810,70566,117919,44868,221889
36,BV1dRtx6BE7z,https://www.bilibili.com/video/BV1dRtx6BE7z,广安.第二顿 厨子探店¥33,美食探店,美食,真探唐仁杰,2026-08-31 11:30:00,158,1333813,436,1568,9724,2464,2589,115047
37,BV1B6th6WE5Y,https://www.bilibili.com/video/BV1B6th6WE5Y,"绝对""阴""感（有jumpscare注意）",其他游戏,游戏,卖冰淇淋的容器猫,2026-09-01 01:26:57,29,943726,203,3261,36461,6397,13966,119063
38,BV1AetW6LEZz,https://www.bilibili.com/video/BV1AetW6LEZz,一条视频看8月：债务和土地，中美旧账单到期，全世界开始找备选方案【地球村月刊】,时政解读,知识,小王Albert,2026-08-31 08:00:00,1346,1328181,6651,5554,15825,37705,2299,83950
39,BV1xWtg6yEob,https://www.bilibili.com/video/BV1xWtg6yEob,第二集。,AI影视,影视,立志成为恶兽,2026-09-01 11:28:54,131,879390,472,1428,12879,18736,3030,87320
40,BV1Wutu6KEny,https://www.bilibili.com/video/BV1Wutu6KEny,我们在日本皇宫寻找中国文物,综合资讯,资讯,大漠叔叔,2026-09-01 16:42:33,1082,440337,4152,2269,12686,57779,3123,64178
41,BV1Q5tG6bEX3,https://www.bilibili.com/video/BV1Q5tG6bEX3,【IGN独家】《鸣潮》共鸣者「心」、「锁暝」演示,单人RPG游戏,游戏,IGN中国,2026-09-03 11:00:00,95,1468487,13582,22826,27408,68736,118209,121139
42,BV1BLt86QECJ,https://www.bilibili.com/video/BV1BLt86QECJ,从零开始，黑龙江发现废弃石头屋改造寒冬避难所，首场暴风雪来之前要做好准备，提前存储物资,户外探险,户外潮流,漠生铁铁,2026-08-31 20:00:00,1273,1465316,2727,1631,18462,12487,2461,39228
43,BV1Ljtt6VEAS,https://www.bilibili.com/video/BV1Ljtt6VEAS,弄了口大钢牙,健康科普,医疗保健,手工耿,2026-08-31 15:55:18,162,1253238,4006,4564,2528,4510,3246,98134
44,BV1KxtY6kEwY,https://www.bilibili.com/video/BV1KxtY6kEwY,【铁豆钢蛋】你好 斌斌！,乐评盘点,音乐,铁豆钢蛋,2026-09-01 12:00:00,3560,862494,12426,5230,9480,31121,2745,42735
45,BV1BXjA6HEQ7,https://www.bilibili.com/video/BV1BXjA6HEQ7,【魔女养成计划6】当“中国制造”出现在幻想世界里，嘿嘿 【up动画】,AI影视,影视,泡椒小鸡,2026-09-01 21:10:30,855,1884149,2430,960,24209,12139,1658,49824
46,BV1yF8h6BEWL,https://www.bilibili.com/video/BV1yF8h6BEWL,来这吃牛肉，格局和肚子都大了…,美食探店,美食,野文不懂吃,2026-08-30 18:00:00,523,2453697,2779,4319,25231,10976,12442,61633
47,BV1it4D6gED7,https://www.bilibili.com/video/BV1it4D6gED7,猫狗超燃大乱斗！,动物综合·二创,动物,神奇的老皮,2026-08-30 13:11:08,242,1432126,1633,3400,20046,11784,12395,93961
48,BV1p5t366EuM,https://www.bilibili.com/video/BV1p5t366EuM,“什么叫程心的威慑度是100%？”,鬼畜综合,鬼畜,自动鬼畜中的WZ,2026-09-01 18:05:00,411,1462662,2132,3851,12394,10404,7280,45682
49,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,4237732,19783,21112,91554,680091,37271,751153
50,BV1uht86rEDA,https://www.bilibili.com/video/BV1uht86rEDA,《明日方舟：终末地》干员叙事 [提弗洛斯：萨米维格的孩子],单人RPG游戏,游戏,明日方舟终末地,2026-09-01 11:30:00,610,1466548,4242,5176,8673,13233,6081,53819
51,BV1Vst861EwN,https://www.bilibili.com/video/BV1Vst861EwN,"他, 有史以来被误解最深的天才!【数学人物志07: 拉马努金】",科学科普,知识,原子科学志,2026-08-31 20:30:00,3722,599943,2825,2896,19711,7891,1374,45857
52,BV1n5t366E6q,https://www.bilibili.com/video/BV1n5t366E6q,开疆拓土特朗普，可算美国总统GOAT？,时政解读,知识,麻薯波比呀,2026-09-01 18:00:43,884,979590,4116,1741,6795,9515,869,67611
53,BV1C2t86hEmz,https://www.bilibili.com/video/BV1C2t86hEmz,游戏玩家的真实年龄belike：,射击游戏,游戏,咸鱼_栗,2026-08-31 18:51:47,18,3871852,171,3111,5114,1312,1255,110805
54,BV1p3t36kEEj,https://www.bilibili.com/video/BV1p3t36kEEj,一个外挂100块，从零挑战四款FPS，会遇到多少挂？,射击游戏,游戏,搞机所,2026-09-02 14:00:00,1454,1107300,2834,3748,10651,14003,3352,47911
55,BV1swt86hE64,https://www.bilibili.com/video/BV1swt86hE64,带精神小妹买衣服，并回复评论区的一些评论,城市出行,旅游出行,旺卡_Wonka,2026-08-31 21:02:37,679,1140677,6985,4018,7643,19812,3277,44441
56,BV1Ugtb6KEXU,https://www.bilibili.com/video/BV1Ugtb6KEXU,还是穿不了“大人”的衣服,剧情演绎,小剧场,浅尝小辣酱,2026-08-31 20:30:00,380,1271642,2011,3068,6133,4712,2151,61956
57,BV1VRtG6wErp,https://www.bilibili.com/video/BV1VRtG6wErp,爆款AI短剧/AI漫剧是怎么做出来的？0-1保姆级教程,AI影视,影视,AI视次方,2026-09-01 22:31:27,575,1245093,237,489,11215,3099,526,56198
58,BV1rM426qEoN,https://www.bilibili.com/video/BV1rM426qEoN,奥黛塔也可以在冰上起舞,体育综合,体育运动,火只木南,2026-08-29 20:29:20,21,3865886,288,2486,50980,7559,4712,274020
59,BV1i6tb62Evs,https://www.bilibili.com/video/BV1i6tb62Evs,三胞胎挑战半夜去理发，看看理发师什么反应,随拍·综合,其他,于家三少唯一号,2026-08-31 13:03:57,269,891223,1196,2733,6111,1518,2042,70233
60,BV1xT4D6REah,https://www.bilibili.com/video/BV1xT4D6REah,我有不能输的理由,射击游戏,游戏,浅笑微微U,2026-08-30 12:47:02,123,2147552,1528,5620,11232,9439,2948,165016
61,BV1U6tn6CExZ,https://www.bilibili.com/video/BV1U6tn6CExZ,我的世界：所有物品自动附魔多重射击！这也能分裂！？,沙盒类,游戏,小橙子姐姐解说,2026-08-31 17:00:00,569,1279443,1520,691,17643,4369,346,89478
62,BV1jVtt6LEjP,https://www.bilibili.com/video/BV1jVtt6LEjP,《异环》灵可角色PV丨宇宙的频段,其他游戏,游戏,异环,2026-09-02 11:00:00,794,1922560,1018,5917,5448,5876,2191,45451
63,BV1vQ4Q6rEFR,https://www.bilibili.com/video/BV1vQ4Q6rEFR,这首歌改变了我的人生，并带我走进了中国这个美丽的世界。,原创音乐,音乐,appleby_music,2026-08-30 16:57:13,170,1066929,581,2686,15869,9839,2343,57584
64,BV11XtV6HEHc,https://www.bilibili.com/video/BV11XtV6HEHc,炊哥生日加更一期爆蛋炒饭,美食记录,美食,炊哥不加戏,2026-09-01 21:15:57,535,1107827,1954,2496,4478,17648,5538,51088
65,BV1J2tt6XECA,https://www.bilibili.com/video/BV1J2tt6XECA,年 度 最 压 抑 游 戏丨《八尺姐姐曾经存在的那个夏天》,其他游戏,游戏,小熊flippy,2026-08-31 17:00:00,3919,611824,5047,1781,14264,23379,1799,29938
66,BV15Wt86jEFH,https://www.bilibili.com/video/BV15Wt86jEFH,四千人失踪，尼泊尔终究不放开接受外国援助,海外资讯,资讯,波士顿圆脸,2026-08-31 20:17:39,723,1127537,5195,3762,5329,5097,2203,53435
67,BV1Sntc6REMU,https://www.bilibili.com/video/BV1Sntc6REMU,乡村大集，乡村打铁，感受不一样的打击乐,农村生活,三农,山里木匠人,2026-08-28 14:05:30,46,3862384,1052,5097,16465,4949,3873,207049
68,BV1Ugtb6TE9R,https://www.bilibili.com/video/BV1Ugtb6TE9R,“修仙也爱拍照”,AI影视,影视,剑上一寸雪,2026-08-31 14:32:14,153,609098,311,1161,18852,4151,3169,61875
69,BV1UvfEB7EX9,https://www.bilibili.com/video/BV1UvfEB7EX9,注意！花少2全集解说，时长共8小时（莫要通宵看）,娱乐综艺正片,娱乐,小灰躺,2026-02-22 12:38:35,29434,3583264,57999,12943,148010,53501,68025,100337
70,BV1Na4Q64Eos,https://www.bilibili.com/video/BV1Na4Q64Eos,去了一趟西班牙2.0（日全食篇）,旅游记录,旅游出行,影视飓风,2026-08-30 11:00:00,1474,2359458,39169,3185,36053,81842,7831,162754
71,BV1qH4U6iEEy,https://www.bilibili.com/video/BV1qH4U6iEEy,FALSITY…（完整版电影 / 官方正版),沙盒类,游戏,7xqree,2026-08-30 00:36:12,5453,1304343,35926,14840,107131,56761,6395,188358
72,BV1Datu6JEEi,https://www.bilibili.com/video/BV1Datu6JEEi,连英语人都发不明白uygur这个词的音,剧情演绎,小剧场,路西法Lusiferr,2026-09-01 20:00:00,488,1222083,2469,2907,4848,1410,620,56774
73,BV1a98e6FE3M,https://www.bilibili.com/video/BV1a98e6FE3M,特别的一课,剧情演绎,小剧场,周小瑜SAMA,2026-08-30 18:00:00,45,2271145,447,5017,29004,3448,3033,159045
74,BV1aTtb6uEZW,https://www.bilibili.com/video/BV1aTtb6uEZW,和龙龙录一次猜英雄。太好玩了,MOBA游戏,游戏,骚男丶注意马叉虫,2026-08-31 14:32:03,426,1421795,1840,1866,1884,5087,936,58949
75,BV1fytx6LEB5,https://www.bilibili.com/video/BV1fytx6LEB5,哥哥说找到了流量的密码！！,随拍·综合,其他,非自然苏打,2026-08-31 12:14:37,454,1621412,659,862,5766,3170,402,56189
76,BV13QtJ67Eo1,https://www.bilibili.com/video/BV13QtJ67Eo1,直到赛前..我都没想到当教练还得出COS啊???🥹 【bilibilionly同人扶持计划】,MOBA游戏,游戏,恩祈儿,2026-09-02 17:07:52,452,780737,516,562,12074,3965,531,57461
77,BV1GL4Q6MEeg,https://www.bilibili.com/video/BV1GL4Q6MEeg,主播这种画风有火起来的风险吗？,二次元绘画,绘画,消茂密,2026-08-30 10:42:29,20,500041,302,2370,17903,4791,903,167253
78,BV11K4U62E7v,https://www.bilibili.com/video/BV11K4U62E7v,为什么古代的神医都会去到处游历,其他知识杂谈,知识,老嫖冷知识,2026-08-30 07:00:00,193,789322,744,2821,20909,1017,1231,58560
79,BV1y3tp63ET8,https://www.bilibili.com/video/BV1y3tp63ET8,这是个辅助万豪！？,MOBA游戏,游戏,BBGG丶狮子喵,2026-08-31 11:00:00,187,1589110,885,1671,1644,1397,922,68279
80,BV1F7t36BEDN,https://www.bilibili.com/video/BV1F7t36BEDN,假如遇到小时候的自己,剧情演绎,小剧场,古泽源,2026-09-01 18:08:08,31,934698,289,2900,9185,3510,921,115190
81,BV1wUt86FEZt,https://www.bilibili.com/video/BV1wUt86FEZt,那么，救赎她的代价是什么呢？,同人动画,二次元,低频颤抖,2026-08-31 19:05:09,106,719548,1082,743,20224,1123,834,57009
82,BV1g4tt6iEGz,https://www.bilibili.com/video/BV1g4tt6iEGz,巨作完结！我们的少年时代2为什么让我无法自拔,娱乐评论,娱乐,接二连珊妄想症,2026-08-31 17:30:00,682,795026,7961,1644,8136,21978,4831,53788
83,BV1Duth6yEr6,https://www.bilibili.com/video/BV1Duth6yEr6,【经典回顾】东南亚儿童劫终极之战重制加长版...凸眼成神史,UP主小综艺,小剧场,'-超级小能猫-,2026-08-31 17:49:32,535,765388,1678,1055,9729,3055,3216,53888
84,BV1ysth6eELo,https://www.bilibili.com/video/BV1ysth6eELo,“真是好大的冤屈啊”,漫画·动态漫,二次元,混吃等死小小猪,2026-09-01 08:03:00,32,1094905,162,1841,8919,1005,1205,106279
85,BV1bct36JE86,https://www.bilibili.com/video/BV1bct36JE86,《成人日语》,非应试语言学习,知识,小蔡在东京,2026-09-01 20:01:47,25,1264883,468,2305,14751,751,11041,88343
86,BV1be426SEn7,https://www.bilibili.com/video/BV1be426SEn7,《B 界 修 仙 传：长 篇 电 影》,同人动画,二次元,进击的金厂长,2026-08-30 17:30:00,5954,952855,3468,14024,39310,23985,2580,81930
87,BV134tt6iEVp,https://www.bilibili.com/video/BV134tt6iEVp,请看摄像头准备拍照,汽车生活,汽车,驾考曾教练,2026-08-31 16:30:19,57,1350131,1918,5892,12431,1096,21498,82298
88,BV1JQtt6JEYh,https://www.bilibili.com/video/BV1JQtt6JEYh,一条蛆的使命,医疗保健综合,医疗保健,一条蛆的使命,2026-08-31 15:32:34,680,213829,43,1448,3244,35565,179,75780
89,BV1Zpt36PE2n,https://www.bilibili.com/video/BV1Zpt36PE2n,曾经最成功的游戏类型，为什么没人做了？,MMORPG游戏,游戏,智能路障,2026-09-01 18:46:58,549,1309939,2335,7682,6972,6020,1712,21486
90,BV1ZNtA6CExY,https://www.bilibili.com/video/BV1ZNtA6CExY,当你的资产缩水到A0层级，挑选优质桥洞的六大方案！,户外探险,户外潮流,手搓工坊M,2026-08-28 18:18:49,127,5942733,2151,12120,106211,12861,52771,356340
91,BV12Q4X6aEpg,https://www.bilibili.com/video/BV12Q4X6aEpg,大学生一个月该给多少生活费？答案差了近3倍,中外生活vlog,vlog,三下巴,2026-09-01 17:30:00,457,835287,745,3479,2351,810,297,54575
92,BV1pktt6xERY,https://www.bilibili.com/video/BV1pktt6xERY,陪伴我10年的老板离开了,剧情演绎,小剧场,良心发作的chunchun,2026-08-31 17:00:00,278,590537,1452,626,6893,6851,1114,58579
93,BV1NLtL6xEiF,https://www.bilibili.com/video/BV1NLtL6xEiF,兵线全被卡住了，但这样我防御塔就安全了,MOBA游戏,游戏,磊哥游戏,2026-09-02 09:00:00,210,910798,648,1547,1415,2115,691,56085
94,BV1KG4X6FEzd,https://www.bilibili.com/video/BV1KG4X6FEzd,怎么能构建一个合理的丧尸世界观才不会让军队变成小丑？,沙盒类,游戏,抽象工程,2026-08-31 11:00:00,169,722367,407,3734,10440,788,723,36722
95,BV1nF8m6CEzi,https://www.bilibili.com/video/BV1nF8m6CEzi,每说一个“瓜”字，华强血液酒精含量增加20mg/100ml,鬼畜综合,鬼畜,新世纪咖啡战士v,2026-09-01 10:00:00,218,849743,873,924,7094,4607,3718,31232
96,BV1reth6tEFm,https://www.bilibili.com/video/BV1reth6tEFm,华强买瓜，但郝哥能控制AI,鬼畜综合,鬼畜,伊介书生,2026-09-01 01:47:05,438,818933,1320,697,7651,5278,3135,28811
97,BV1mrtu6VEu7,https://www.bilibili.com/video/BV1mrtu6VEu7,今晚19时32分07秒，将迎来“时间重叠”的神奇时刻，全球手表时间和“真太阳时”几乎重合，这种现象今年只剩1次，定好闹钟 你准备好许愿了吗？,综合资讯,资讯,大象新闻,2026-09-01 13:27:18,19,1777277,1130,3046,9377,475,4825,75047
98,BV1nG8d6qE18,https://www.bilibili.com/video/BV1nG8d6qE18,黑乌龟历险记vol.3,射击游戏,游戏,小博博三角洲行动,2026-08-31 10:30:00,194,1721446,949,665,11138,1764,1210,56160
99,BV1Hh4m6rEJR,https://www.bilibili.com/video/BV1Hh4m6rEJR,极乐净土，但是黄色生物三巨头【AI全民制作人】,AI影视,影视,赵导Zshiwu,2026-08-30 03:11:17,75,680279,899,8140,19917,5947,65117,95638
100,BV1Gbta6DEHM,https://www.bilibili.com/video/BV1Gbta6DEHM,我去《鹰角网络嘉年华》当了回主持人   |魔法Zc目录 明日方舟 终末地,二次元线下,二次元,魔法Zc目录,2026-08-31 23:25:50,1232,458661,1372,1305,7135,10833,1619,50472
