排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1Q5tG6bEX3,https://www.bilibili.com/video/BV1Q5tG6bEX3,【IGN独家】《鸣潮》共鸣者「心」、「锁暝」演示,单人RPG游戏,游戏,IGN中国,2026-09-03 11:00:00,95,3545105,24870,38894,47211,104282,168920,208218
2,BV1a3th65EQb,https://www.bilibili.com/video/BV1a3th65EQb,西西弗斯推的石头，居然是孙悟空......【AI全民制作人】#SpecialForAAIFF,AI影视,影视,张拉灯,2026-08-31 17:42:48,295,4423461,1908,3982,60475,31814,18743,239142
3,BV1P4th6PE81,https://www.bilibili.com/video/BV1P4th6PE81,“用最温柔的方式，体面的告别了这个世界”｜听歌/小曲,电台·歌单,音乐,我爱吃派大星,2026-09-01 08:20:00,287,2519020,7005,5087,19214,9380,2684,229426
4,BV1Este6wExx,https://www.bilibili.com/video/BV1Este6wExx,08年美国讽刺金曲《朋友的酒》（英语填词cover）“空城计の小曲”,AI音乐,音乐,梨茗子,2026-09-01 09:30:00,258,2954066,1276,6229,63131,46941,25152,133097
5,BV1G7tG6tEwL,https://www.bilibili.com/video/BV1G7tG6tEwL,【何同学】库克时代,商业财经,知识,老师好我叫何同学,2026-09-01 17:00:00,2615,1796004,9927,2655,49516,87592,13318,122837
6,BV1potV6SEWY,https://www.bilibili.com/video/BV1potV6SEWY,“小传人”来了（假期拍摄，快乐起来）,应试教育,知识,铭门学府张超,2026-09-01 20:58:28,117,1088379,2228,7184,6593,31548,1007,238489
7,BV1n1tA67EsT,https://www.bilibili.com/video/BV1n1tA67EsT,把公司当成主题乐园,剧情演绎,小剧场,papi酱,2026-09-01 18:00:00,183,1939472,1794,3197,9872,18467,21351,179073
8,BV1BjtE6HExq,https://www.bilibili.com/video/BV1BjtE6HExq,极限挑战——时光大桥,娱乐综艺正片,娱乐,王迅,2026-09-02 11:04:34,184,1837603,947,3707,10223,27447,4076,163340
9,BV1YNtb66ErA,https://www.bilibili.com/video/BV1YNtb66ErA,当广告挡住关键时刻，可能就是生死之间,社会资讯,资讯,中国新闻网,2026-08-31 13:36:28,89,2724418,2242,18604,22621,64997,5940,376496
10,BV12ctX68Ex6,https://www.bilibili.com/video/BV12ctX68Ex6,致热爱捉宠的你——《伊莫》幕后制作纪录片,其他游戏,游戏,伊莫,2026-09-03 10:00:00,1261,2370798,741,1112,47701,20681,15690,78767
11,BV13QtJ67Eo1,https://www.bilibili.com/video/BV13QtJ67Eo1,直到赛前..我都没想到当教练还得出COS啊???🥹 【bilibilionly同人扶持计划】,MOBA游戏,游戏,恩祈儿,2026-09-02 17:07:52,452,1923331,855,1040,23707,5001,1059,117591
12,BV1RhtV6iEt3,https://www.bilibili.com/video/BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,单人RPG游戏,游戏,明日方舟,2026-09-02 11:00:00,173,2064974,9627,17658,12168,20481,69506,105885
13,BV1bLth6rE1T,https://www.bilibili.com/video/BV1bLth6rE1T,【蕾米埃尔】：入木三分，原来是字面意思？,其他手工,手工,木姬空语,2026-08-31 17:48:57,6891,2476800,2059,3850,15221,28743,5427,139848
14,BV1FQtt6JEKs,https://www.bilibili.com/video/BV1FQtt6JEKs,网络热传生物鉴定 第63期,野生动物·动物解说科普,动物,无穷小亮的科普日常,2026-09-03 16:00:00,412,1983472,7539,5624,10102,12820,3812,139459
15,BV1XPtM6SEHv,https://www.bilibili.com/video/BV1XPtM6SEHv,纯手搓的视频，初音会喜欢吗？【bilibilionly同人扶持计划】,同人动画,二次元,利利那TD25,2026-09-01 09:45:04,96,965845,481,1558,31931,58434,5476,190634
16,BV1GStg6oEQe,https://www.bilibili.com/video/BV1GStg6oEQe,绝活,剧情演绎,小剧场,脱缰凯Kk,2026-09-01 19:15:20,216,2113816,1922,1194,8806,4136,1191,137563
