排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,3934279,18322,19681,84579,624888,33737,696595
2,BV1ZNtA6CExY,https://www.bilibili.com/video/BV1ZNtA6CExY,当你的资产缩水到A0层级，挑选优质桥洞的六大方案！,户外探险,户外潮流,手搓工坊M,2026-08-28 18:18:49,127,5066207,1925,11085,90971,9578,44497,310360
3,BV1s7tK6AECw,https://www.bilibili.com/video/BV1s7tK6AECw,《小杨有约29#》：陈泽,UP主小综艺,小剧场,小杨Johnson,2026-08-29 14:00:00,681,2955689,14893,5247,63130,108918,11371,230796
4,BV16g4y6tEzY,https://www.bilibili.com/video/BV16g4y6tEzY,【大学生就业指导】麦当当薯条N重奏！200块买两斤土豆？不能够了！,美食制作,美食,阿白的金手指厨房,2026-08-29 18:00:42,294,1848675,542,2001,136188,14911,11837,170874
5,BV1qH4U6iEEy,https://www.bilibili.com/video/BV1qH4U6iEEy,FALSITY…（完整版电影 / 官方正版),沙盒类,游戏,7xqree,2026-08-30 00:36:12,5453,1064155,32065,14068,88407,50835,5323,158637
6,BV1GrtK62EfT,https://www.bilibili.com/video/BV1GrtK62EfT,《下一个是谁》恐怖特辑——无限循环的寺庙,UP主小综艺,小剧场,雨哥到处跑,2026-08-29 13:00:00,2929,2766045,35719,5040,68351,152179,8818,211150
7,BV1Hy4k64Erk,https://www.bilibili.com/video/BV1Hy4k64Erk,华强见宋老虎 但是唱跳RAP 【多梦综合征】【AI音乐宇宙】,AI音乐,音乐,多梦综合征,2026-08-29 11:44:17,330,2705527,3241,4679,55362,91657,33938,179786
8,BV1o74y6XEcM,https://www.bilibili.com/video/BV1o74y6XEcM,一个人，耗时18个月，2万元成本，手搓94分钟以刘慈欣小说《山》为故事原型的AI仿真人科幻电影【ai全民制作人】#SpecialForAAIFF,AI影视,影视,野生锅导演,2026-08-29 17:51:39,5671,1400130,7482,6437,85512,87656,16853,123604
9,BV1zCtA6mEay,https://www.bilibili.com/video/BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,单人RPG游戏,游戏,明日方舟,2026-08-29 11:00:00,196,4301833,31065,34637,54009,103925,148440,282649
10,BV18s4k6gESU,https://www.bilibili.com/video/BV18s4k6gESU,如果让专业厨师推荐私藏小店他们会怎么推荐？,美食探店,美食,特厨隋坡,2026-08-30 11:30:00,502,1598217,2145,3221,25879,7385,7091,240305
11,BV1iRtA6gEuc,https://www.bilibili.com/video/BV1iRtA6gEuc,立志成为恶兽第一集,AI影视,影视,立志成为恶兽,2026-08-28 16:02:43,164,2185145,1160,3618,52083,33298,9837,206678
12,BV1td4o6LEFr,https://www.bilibili.com/video/BV1td4o6LEFr,⚡ 舞 立 方 . m p 4 ⚡,休闲玩乐,生活兴趣,沉默-_-微笑,2026-08-28 21:00:00,174,1698927,5930,3227,28096,21277,13010,226684
13,BV1Na4Q64Eos,https://www.bilibili.com/video/BV1Na4Q64Eos,去了一趟西班牙2.0（日全食篇）,旅游记录,旅游出行,影视飓风,2026-08-30 11:00:00,1474,1955218,34263,2950,32533,71324,6573,142398
14,BV11x4f6CESm,https://www.bilibili.com/video/BV11x4f6CESm,欲买桂花同载酒，终不似，少年游。,休闲玩乐,生活兴趣,小秋习字,2026-08-28 10:37:54,124,3490779,1151,3197,38432,19563,5810,267192
15,BV1wwtN6sEVJ,https://www.bilibili.com/video/BV1wwtN6sEVJ,【终末地动画】小龙欠了织烟God十万调度券所以她将追求小龙,同人动画,二次元,博丽x海苔,2026-08-29 12:00:00,44,2055591,635,7453,97610,25311,33714,222802
16,BV163426vE3s,https://www.bilibili.com/video/BV163426vE3s,火柴人 VS 我的世界 第四十集 苦力怕部族（Creeper Clan）,同人动画,二次元,火柴人AlanBecker,2026-08-29 20:41:40,741,1298388,21749,5686,42701,32277,6653,117151
17,BV1VitP6GE9o,https://www.bilibili.com/video/BV1VitP6GE9o,老叟戏顽童 白俄戏欧盟,时政解读,知识,燕三嘤嘤嘤,2026-08-29 11:50:00,1304,2849140,15410,5083,28619,51358,6024,156322
18,BV1so4C6MEoF,https://www.bilibili.com/video/BV1so4C6MEoF,现在买入....一定爆赚！2026年10月新番导视！【泛式】,二次元其他,二次元,泛式,2026-08-29 18:58:34,1108,1345386,19074,6247,26502,44049,8536,108683
19,BV1pP4y6YEBq,https://www.bilibili.com/video/BV1pP4y6YEBq,《我们的家2》,UP主小综艺,小剧场,是许木木啊,2026-08-29 18:00:00,4398,1131661,11166,3612,33878,45712,3324,114575
20,BV1CGtp66EEM,https://www.bilibili.com/video/BV1CGtp66EEM,全程高能！队友接连失踪？活着并逃离这里！！！「逃离疯人院」,沙盒类,游戏,夏天y,2026-08-31 08:00:00,1297,899153,33011,6955,37952,57445,1703,90492
21,BV1h5tH6nEmS,https://www.bilibili.com/video/BV1h5tH6nEmS,吃饭一定要去端菜，自己爱吃的菜全放跟前！,其他vlog,vlog,笑点有点低哦,2026-08-30 21:24:45,33,3842426,1033,9624,81859,7007,44440,324958
22,BV1rM426qEoN,https://www.bilibili.com/video/BV1rM426qEoN,奥黛塔也可以在冰上起舞,体育综合,体育运动,火只木南,2026-08-29 20:29:20,21,2804570,230,1725,39212,4932,2666,221678
