排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1HBbE6cEc5,https://www.bilibili.com/video/BV1HBbE6cEc5,《下一个是谁》第七季（4）,UP主小综艺,小剧场,力元君,2026-09-06 12:00:00,4428,2234299,98238,13013,106926,365374,14738,293625
2,BV16Htm6rE8n,https://www.bilibili.com/video/BV16Htm6rE8n,午夜轮班，伪人超市,其他游戏,游戏,鲤鱼Ace,2026-09-05 15:42:24,10021,2439150,84310,12097,89252,98316,8134,235124
3,BV1Xdt26bECx,https://www.bilibili.com/video/BV1Xdt26bECx,我把汉堡搬到了星星上,UP主小综艺,小剧场,李炮炮儿,2026-09-05 17:30:00,250,2310242,1642,3439,30037,161316,4527,282481
4,BV1sAbL6tEEC,https://www.bilibili.com/video/BV1sAbL6tEEC,《崩坏：星穹铁道》千星纪游PV——「深水区」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-06 12:00:00,966,2480626,11907,15090,36562,57490,20808,204160
5,BV1aktB6KEA5,https://www.bilibili.com/video/BV1aktB6KEA5,手机发明之前，人们就是这样手书的……完整版！【bilibilionly同人扶持计划】,同人动画,二次元,杨小谬,2026-09-04 19:23:32,65,2050292,9390,4064,96532,90576,9963,403325
6,BV1C9b76cEks,https://www.bilibili.com/video/BV1C9b76cEks,《绝区零》克拉蕾EP | Link Up 血火相连,原创音乐,音乐,绝区零,2026-09-06 12:00:00,199,1780203,1796,6777,33937,55902,13465,116511
7,BV145t66AEfZ,https://www.bilibili.com/video/BV145t66AEfZ,当你吃出口腔溃疡时体内正在发生什么,健康科普,医疗保健,meme小短剧,2026-09-05 10:00:00,202,3334449,917,4392,28413,8894,7407,143579
8,BV1T2ti6REsF,https://www.bilibili.com/video/BV1T2ti6REsF,慢下来，就会死！,其他游戏,游戏,某幻君,2026-09-05 11:30:00,1788,1542291,14981,18533,33408,63687,6786,129062
9,BV1UBbL6YEtN,https://www.bilibili.com/video/BV1UBbL6YEtN,华强买瓜，但死神来了,鬼畜综合,鬼畜,伊介书生,2026-09-05 22:35:45,436,2497880,3061,2679,26691,27526,12117,107899
10,BV1X5bE62EbZ,https://www.bilibili.com/video/BV1X5bE62EbZ,全网首发！爆肝3天！S11新NPC佐拉、唐吉任务线全流程攻略！完成后送口琴和火箭！可演奏可互动可入局！单人几乎无法完成！,射击游戏,游戏,Key725,2026-09-06 08:43:52,936,1297473,9662,6392,96401,24428,24213,83554
11,BV1sxtk6YEGp,https://www.bilibili.com/video/BV1sxtk6YEGp,全B站最垃圾的一期视频,UP主小综艺,小剧场,小潮院长,2026-09-05 07:00:00,1086,3209198,15680,5472,68548,96894,5400,244150
12,BV1jxt16cEdb,https://www.bilibili.com/video/BV1jxt16cEdb,【B萌纪念mv】恭喜千早爱音加冕B萌萌王！【bilibilionly同人扶持计划】,同人动画,二次元,千早爱音萌战应援,2026-09-05 12:30:00,295,540192,517,1315,42085,16604,38856,150537
13,BV1j3t268EPc,https://www.bilibili.com/video/BV1j3t268EPc,【萌黄一槽】幻术吗，什么时候？！宇智波鼬[晓·朱]全技能爆料！,动作竞技游戏,游戏,火影忍者手游情报君,2026-09-05 18:40:31,452,2071422,9367,16447,23381,14301,25642,105204
14,BV1afbn6sExH,https://www.bilibili.com/video/BV1afbn6sExH,我去了世界最大的男女混浴温泉瀑布，泡起来到底多刺激？,旅游记录,旅游出行,兔兔不会秃秃,2026-09-06 11:27:41,746,2012963,3145,3361,28803,20347,7134,69819
15,BV13Rty6pEeB,https://www.bilibili.com/video/BV13Rty6pEeB,【4k超清】《乾乾特工·西部篇》牛仔回归……,短剧短片,影视,大乾乾是顾乾宇,2026-09-05 17:33:45,441,623727,1622,2243,17672,25015,4190,122127
16,BV1eBbH6ZEL9,https://www.bilibili.com/video/BV1eBbH6ZEL9,怎么有网友让我走到西藏啊…,旅游记录,旅游出行,拉宏桑,2026-09-06 18:23:42,801,1795304,8602,3713,7147,20021,4041,108887
17,BV1Akbw6WECj,https://www.bilibili.com/video/BV1Akbw6WECj,乌克兰的军统和中统内斗,时政解读,知识,燕三嘤嘤嘤,2026-09-07 11:50:00,1316,1325698,7992,3901,14635,21750,2250,87455
18,BV1XBtm6fEd9,https://www.bilibili.com/video/BV1XBtm6fEd9,逃跑？但那是废物的思维！,鬼畜综合,鬼畜,摸鱼佬临风,2026-09-05 15:46:02,492,652432,543,622,23578,12158,1417,93503
19,BV1BXtz67E2S,https://www.bilibili.com/video/BV1BXtz67E2S,西部神枪手快意恩仇，亲手报血海深仇后，却坠入一场惊天大阴谋,影视解读,影视,九条猫讲影,2026-09-05 00:58:45,788,1662392,4953,1510,20105,1723,1885,96197
20,BV1J1t26KEcz,https://www.bilibili.com/video/BV1J1t26KEcz,他只用一首歌，就能让十四亿中国人乖乖回家,乐评盘点,音乐,薩尔瓦多,2026-09-05 19:00:00,474,1485882,1760,984,31112,5061,3717,114610
21,BV1gNbH6nEfT,https://www.bilibili.com/video/BV1gNbH6nEfT,给盲人投放弹窗广告？,随拍·综合,其他,销冠李老板,2026-09-06 09:55:55,31,3483171,6178,16706,32562,128000,6616,691210
22,BV1yuto66E8J,https://www.bilibili.com/video/BV1yuto66E8J,万人追更的终南山怪虫，只有我们拍到了真相！,综合资讯,资讯,中国国家地理,2026-09-04 17:00:00,835,5637126,24399,10425,81455,125783,35108,543149
23,BV1rvty6NEpZ,https://www.bilibili.com/video/BV1rvty6NEpZ,拿不下你 我的问题,短剧短片,影视,柯洁,2026-09-05 14:01:35,26,2466073,6570,7156,9337,9030,8930,247512
24,BV1BZtC68EXq,https://www.bilibili.com/video/BV1BZtC68EXq,拉康：我们如何用一生，从别人那里偷来一个“我”？,心理杂谈,知识,大圆镜科普,2026-09-05 07:55:00,489,1663552,1385,1555,28045,5341,2866,113527
25,BV1ALtm61Eib,https://www.bilibili.com/video/BV1ALtm61Eib,开学攻略-选定你的硬核学习刚需,电脑,科技数码,你的影月月,2026-09-05 17:20:36,328,785910,2517,2974,17377,7027,8573,90214
26,BV1AxtJ6NEFR,https://www.bilibili.com/video/BV1AxtJ6NEFR,【IGN】Switch 2版《艾尔登法环 褪色者版》 44分钟实机演示,单机主机类游戏,游戏,IGN中国,2026-09-05 17:55:00,2685,981596,9087,6371,15031,35978,18640,54055
27,BV1e8tR6EER5,https://www.bilibili.com/video/BV1e8tR6EER5,这次是真玩爽了,演奏,音乐,爱弹琴的Jony,2026-09-03 17:28:07,167,2600909,1843,2984,38122,13016,3464,308454
28,BV132tB6YExQ,https://www.bilibili.com/video/BV132tB6YExQ,九年义务教育，正在变成“义务坐牢”——“减负”反变“增负”，一个小学老师发现了背后的残酷真相,社会观察,知识,硬核学长2077,2026-09-05 15:00:00,891,1144589,4429,10697,26082,10885,9263,41418
29,BV1s9tf6EE3N,https://www.bilibili.com/video/BV1s9tf6EE3N,我好像找到了特别贴numb numb副歌音效的跳法…,颜值·网红舞,舞蹈,Tutting-Max,2026-09-03 22:11:42,160,674442,698,1762,24697,20344,3319,173553
30,BV1tgbW6RE6W,https://www.bilibili.com/video/BV1tgbW6RE6W,【终末地1.5】全网最强基建！划时代创新科技！颠覆你对基建深度的认知！,单人RPG游戏,游戏,斯改,2026-09-06 21:59:23,904,655732,657,3261,36978,19720,9070,39616
31,BV1NQti6HEaC,https://www.bilibili.com/video/BV1NQti6HEaC,“请与我一同，战胜时间的伟力。”,漫画·动态漫,二次元,Mr-Ferret,2026-09-04 14:20:12,93,2962018,642,3300,42306,5049,4515,281311
32,BV1RgbE6JE4c,https://www.bilibili.com/video/BV1RgbE6JE4c,假如格林穿越到了re0的世界（王选篇3）,同人动画,二次元,科Bysang爱丸游戏,2026-09-06 08:38:07,269,689749,722,2870,18975,13018,1804,70416
33,BV1wKbs67Emc,https://www.bilibili.com/video/BV1wKbs67Emc,孤岛小夫 第三集,同人动画,二次元,派之新,2026-09-07 12:02:02,675,967164,913,1252,18998,7099,3195,68952
34,BV1q2t26vEGM,https://www.bilibili.com/video/BV1q2t26vEGM,老爸在外工作，老妈在家出轨，我来捉奸,社会观察,知识,183的冯予希律师,2026-09-05 18:28:11,277,934462,1863,4065,8908,2457,3266,91116
35,BV1GAbW68EcH,https://www.bilibili.com/video/BV1GAbW68EcH,三年之期已到，恭迎世一上归位！【第7集】,AI影视,影视,九夜听风,2026-09-06 14:42:19,401,1484144,6071,4432,6839,46274,14032,50521
