排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1VabK62Ea5,https://www.bilibili.com/video/BV1VabK62Ea5,请停留三秒，为毛主席献花，今天9月9日是主席毛泽东逝世50周年的日子，他是中国共产党、中国人民解放军、中华人民共和国的主要缔造者,时政资讯,资讯,大象新闻,2026-09-09 00:00:00,42,1707641,0,143,57520,248691,20958,918568
2,BV1eqYx6UE9V,https://www.bilibili.com/video/BV1eqYx6UE9V,我 来 同 你 玩  丨 二洲年快乐,射击游戏,游戏,三角洲行动,2026-09-09 18:01:14,387,4397259,85064,17131,82295,59634,72630,352466
3,BV18gtJ6LECq,https://www.bilibili.com/video/BV18gtJ6LECq,《未眠野》首曝PV | 万物都在回应，世界没有答案,其他游戏,游戏,未眠野,2026-09-09 10:00:00,296,9811816,6526,16306,85961,96660,47534,258267
4,BV1W3bK6cE37,https://www.bilibili.com/video/BV1W3bK6cE37,《阴阳师》石长姬CG丨拾光永恒（CV：小清水亚美）,单人RPG游戏,游戏,网易阴阳师手游,2026-09-07 19:23:19,331,2654896,3930,4405,52493,74128,19634,144429
5,BV1TvbV6ZEZF,https://www.bilibili.com/video/BV1TvbV6ZEZF,挑战0元城市生存（1.2）,户外探险,户外潮流,杀心成焚酱,2026-09-08 20:03:16,663,1278667,4342,3056,20879,28228,7695,136185
6,BV1wKbs67Emc,https://www.bilibili.com/video/BV1wKbs67Emc,孤岛小夫 第三集,同人动画,二次元,派之新,2026-09-07 12:02:02,675,2131262,1492,2245,35440,11994,7307,125330
7,BV138bP6gEvx,https://www.bilibili.com/video/BV138bP6gEvx,假如你生活在十万人的宿舍【AI全民制作人】,AI影视,影视,阿丸焖居,2026-09-07 18:05:00,311,2116677,1474,2106,16533,7438,3225,120634
8,BV13abK62ECA,https://www.bilibili.com/video/BV13abK62ECA,开学舍友把宿舍改造成了海洋馆,UP主小综艺,小剧场,小叮当的伙伴们,2026-09-07 18:10:56,212,1529399,1134,1962,14784,6881,9347,138294
9,BV1wybV6QEaN,https://www.bilibili.com/video/BV1wybV6QEaN,商业鬼才,剧情演绎,小剧场,脱缰凯Kk,2026-09-08 18:48:11,283,1458913,1730,1238,12486,15497,1883,134665
10,BV1awbg6XELn,https://www.bilibili.com/video/BV1awbg6XELn,对话汉斯·季默！如何用一段旋律创造一个电影宇宙？,乐评盘点,音乐,影视飓风,2026-09-08 11:00:00,987,1026559,2294,1684,25196,31503,8118,92830
11,BV1HBbE6cEc5,https://www.bilibili.com/video/BV1HBbE6cEc5,《下一个是谁》第七季（4）,UP主小综艺,小剧场,力元君,2026-09-06 12:00:00,4428,2739315,110453,14106,117793,406123,23515,331316
12,BV1tgbW6RE6W,https://www.bilibili.com/video/BV1tgbW6RE6W,【终末地1.5】全网最强基建！划时代创新科技！颠覆你对基建深度的认知！,单人RPG游戏,游戏,斯改,2026-09-06 21:59:23,904,1145820,962,5542,59932,33050,14940,66141
