排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
66,BV1Jpti63EA5,https://www.bilibili.com/video/BV1Jpti63EA5,【苏新皓｜4K直拍】99次我爱他 直拍｜重·二周年演唱会 DAY3,音乐现场,音乐,JUSTSU_苏新皓,2026-09-04 15:27:13,255,82205,77648,46194,13787,19868,14971,21723
67,BV1wHtL6HEL2,https://www.bilibili.com/video/BV1wHtL6HEL2,少↗TM↗飞↗滑↗，给↘我↘打↗，使↘↗劲↘打↗（使人震撼的分镜）（挨了一滑板）呃（捂头）,随拍·综合,其他,某幻君,2026-09-02 12:00:00,677,1190552,3516,1340,9918,15427,3170,55433
68,BV1istn69EPU,https://www.bilibili.com/video/BV1istn69EPU,【科学修仙】今日不死，儿孙满堂！【up动画】,AI影视,影视,么鸣堂,2026-09-02 16:18:09,686,1381922,1821,1405,10150,13523,1185,36830
69,BV1Yyt76GEtW,https://www.bilibili.com/video/BV1Yyt76GEtW,"办公室没窗、走廊带坡？医院这些""反人类设计""背后的真相！",其他知识杂谈,知识,大物是也,2026-09-02 18:00:00,2398,1127240,2873,1411,8546,24915,1989,35832
70,BV1X2tJ6SE9b,https://www.bilibili.com/video/BV1X2tJ6SE9b,脖子前倾不要猛后仰,健身科普,健身,天鹅老师美肩背,2026-09-02 16:01:14,35,632408,39,490,76990,2984,1906,62520
71,BV1F7t36BEDN,https://www.bilibili.com/video/BV1F7t36BEDN,假如遇到小时候的自己,剧情演绎,小剧场,古泽源,2026-09-01 18:08:08,31,1427479,420,4022,17009,5776,1358,177823
72,BV1eCtJ6XESY,https://www.bilibili.com/video/BV1eCtJ6XESY,我们又一次从网上买来了一些玩具…,潮玩玩具,生活兴趣,摸鱼事务所,2026-09-02 15:53:33,2370,689421,6472,839,12843,27671,1440,44581
73,BV1Yptj6zEEG,https://www.bilibili.com/video/BV1Yptj6zEEG,【花小烙】手上的汗疱疹是怎么冒出来的？,健康科普,医疗保健,画渣花小烙,2026-09-02 18:00:00,286,797460,924,3902,9708,7684,3539,62050
74,BV1jHtn6oEKJ,https://www.bilibili.com/video/BV1jHtn6oEKJ,美国银行32岁副总裁在时代广场被随机捅死,海外资讯,资讯,波士顿圆脸,2026-09-02 15:16:18,706,1152288,7659,5473,5685,2551,2432,54442
75,BV1Ygt96VEJg,https://www.bilibili.com/video/BV1Ygt96VEJg,"明明睡了很久, 为什么每天还这么累｜如何提高精力？运动学博士的深度科普",健身科普,健身,北美运动学博士Bruce_PhD,2026-09-03 10:56:26,1044,565947,1128,1215,21582,7542,5017,36770
76,BV1rTtD6mE4k,https://www.bilibili.com/video/BV1rTtD6mE4k,大 周 礼 时 代(28),剧情演绎,小剧场,诸葛皮皮9527,2026-09-03 17:00:00,94,667393,1025,6882,9409,7618,1007,94884
77,BV1e3td6nEEw,https://www.bilibili.com/video/BV1e3td6nEEw,女子打119报警后 上传火警视频却跳转出开屏广告,社会资讯,资讯,闪电新闻,2026-09-03 14:19:55,71,1535751,1074,5242,5140,4288,2217,121501
78,BV1Datu6JEEi,https://www.bilibili.com/video/BV1Datu6JEEi,连英语人都发不明白uygur这个词的音,剧情演绎,小剧场,路西法Lusiferr,2026-09-01 20:00:00,488,1837253,3285,4080,7598,2334,971,85527
79,BV1bct36JE86,https://www.bilibili.com/video/BV1bct36JE86,《成人日语》,非应试语言学习,知识,小蔡在东京,2026-09-01 20:01:47,25,1843367,624,3173,23196,1203,15398,130717
80,BV1YNtb66ErA,https://www.bilibili.com/video/BV1YNtb66ErA,当广告挡住关键时刻，可能就是生死之间,社会资讯,资讯,中国新闻网,2026-08-31 13:36:28,89,3057136,2495,20524,26661,72344,6520,427444
81,BV1kGto6BEiG,https://www.bilibili.com/video/BV1kGto6BEiG,花600天做一道菜，切开的瞬间发光了！,美食制作,美食,绵羊料理,2026-09-04 17:30:00,417,1128577,3687,1014,10704,21500,1437,66454
82,BV1jdtU6TEGJ,https://www.bilibili.com/video/BV1jdtU6TEGJ,【速凌】居然有野人偷吃保险？兄弟们你们同意吗？,射击游戏,游戏,高司令-速凌电竞,2026-09-02 20:50:45,403,4449805,1874,1294,51344,4610,1119,97418
83,BV1Qstz6qEsS,https://www.bilibili.com/video/BV1Qstz6qEsS,美国总统爱吃的芝士牛排三明治，什么味儿？,美食探店,美食,食贫道,2026-09-04 18:00:00,2797,1117598,4320,1262,8466,9042,1455,43480
84,BV1mntg62Ed8,https://www.bilibili.com/video/BV1mntg62Ed8,史上最烂DC电影！万字赤石《超女》！,影视解读,影视,BuriedAlien,2026-09-04 18:00:00,2108,705656,9211,3791,11020,17402,3545,39465
85,BV15Xtd6pEA7,https://www.bilibili.com/video/BV15Xtd6pEA7,我们全班都在嘲笑物理老师那支丑爆了的棕色,网文解读,二次元,科普不无聊,2026-09-03 13:50:53,129,687653,289,1032,14952,890,437,74584
86,BV1V2tJ6DEfH,https://www.bilibili.com/video/BV1V2tJ6DEfH,我们进入西藏吉隆救援核心区，中国安能24小时轮班抢通生命通道,时政资讯,资讯,即刻出发ActionNow,2026-09-02 16:02:00,489,990798,2072,1386,5653,7829,938,44846
87,BV1Xyt76VEnk,https://www.bilibili.com/video/BV1Xyt76VEnk,【影Sir】智斗神中神！从天而降一亿，骗不过对手，就将身负巨债，漫改剧集《诈欺游戏》,影视解读,影视,我是影Sir,2026-09-02 12:37:00,1374,865137,1533,1575,12810,6929,962,31317
88,BV1gqta6LEYz,https://www.bilibili.com/video/BV1gqta6LEYz,在现实中！152毫米口径的大炮！声音是什么样？,工程机械,科技数码,老李船长,2026-09-02 17:00:00,500,678916,2590,1867,6516,13648,1106,54862
89,BV16atJ6cEo2,https://www.bilibili.com/video/BV16atJ6cEo2,⚡杂 鱼⚡萝 莉 妈 妈！你 选 择 谁⚡【终末地】,鬼畜综合,鬼畜,莉可Kurisu,2026-09-02 17:37:45,12,306906,780,1649,47678,5731,10811,81398
90,BV1dWtn6sEyu,https://www.bilibili.com/video/BV1dWtn6sEyu,第一次耽误人家赚钱，好愧疚啊,射击游戏,游戏,苏醒游戏解说,2026-09-02 15:26:48,204,1124596,506,1395,7918,1250,516,62508
91,BV1U8tq6sEb2,https://www.bilibili.com/video/BV1U8tq6sEb2,【月行水上】SR-1至SR-8 摆完挂机 简单好抄,单人RPG游戏,游戏,萧然Q,2026-09-04 12:15:28,1404,1454247,615,2203,5306,19747,615,24831
92,BV1LGbF6KEXB,https://www.bilibili.com/video/BV1LGbF6KEXB,三角洲行动 全身动态特效+史上最强数值手感！新刀重塑全网最详细测评与优缺点介绍！,射击游戏,游戏,Always聪聪,2026-09-04 06:28:09,209,1318165,909,5405,9524,1195,6296,37141
93,BV1kpbc67ELX,https://www.bilibili.com/video/BV1kpbc67ELX,那个死在如是书院的女孩,社会观察,知识,温柔JUNZ,2026-09-04 12:00:00,250,313317,781,2268,6255,24458,1629,74213
94,BV1Pxt96AETY,https://www.bilibili.com/video/BV1Pxt96AETY,吓哭了！电影级大招，心月狐直接给我干到无限城了！！！？,单人RPG游戏,游戏,棉花大哥哥,2026-09-03 11:36:04,596,1003108,841,5793,6105,5925,3611,36138
95,BV1rftm6LERb,https://www.bilibili.com/video/BV1rftm6LERb,校方通报一年级新生家长群内被骗：5名家长受骗，涉及金额3240元，已报案,时政资讯,资讯,九派新闻,2026-09-02 23:25:18,32,1965532,988,5710,8416,579,59373,93649
96,BV1LZbF6vEVR,https://www.bilibili.com/video/BV1LZbF6vEVR,天崩开局，读博两年，我的论文中了顶会,剧情演绎,小剧场,Zhan丨,2026-09-04 12:00:00,362,754560,922,1917,7486,14855,4400,37614
97,BV1URtJ65EUi,https://www.bilibili.com/video/BV1URtJ65EUi,《崩坏3》全新S级角色寻梦者「时序之律者」预告,单人RPG游戏,游戏,崩坏3第一偶像爱酱,2026-09-03 19:00:00,350,502352,1293,6108,7479,12333,5434,43494
98,BV1t2to6LEmj,https://www.bilibili.com/video/BV1t2to6LEmj,当我们决定：在村里给自己拍婚纱照，会发生什么？,婚嫁,生活经验,建康啊,2026-09-03 19:22:06,408,694463,1668,1645,4595,30542,2066,36258
99,BV1f9t86RE52,https://www.bilibili.com/video/BV1f9t86RE52,“所以时间的参照物是什么”【原神混剪】,单人RPG游戏,游戏,小阿柴_,2026-08-31 18:48:50,344,845555,1882,4066,72519,60309,8713,136093
100,BV1xWtg6yEob,https://www.bilibili.com/video/BV1xWtg6yEob,第二集。,AI影视,影视,立志成为恶兽,2026-09-01 11:28:54,131,1541275,698,1849,18839,24562,4862,116170
