排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1Q5tG6bEX3,https://www.bilibili.com/video/BV1Q5tG6bEX3,【IGN独家】《鸣潮》共鸣者「心」、「锁暝」演示,单人RPG游戏,游戏,IGN中国,2026-09-03 11:00:00,95,4152443,28876,35714,54389,110416,181742,232528
2,BV1P4th6PE81,https://www.bilibili.com/video/BV1P4th6PE81,“用最温柔的方式，体面的告别了这个世界”｜听歌/小曲,电台·歌单,音乐,我爱吃派大星,2026-09-01 08:20:00,287,3905918,15730,7461,35595,17971,3881,355588
3,BV1yuto66E8J,https://www.bilibili.com/video/BV1yuto66E8J,万人追更的终南山怪虫，只有我们拍到了真相！,综合资讯,资讯,中国国家地理,2026-09-04 17:00:00,835,2394497,8365,4905,31318,50485,9104,234271
4,BV1bHtd6CESR,https://www.bilibili.com/video/BV1bHtd6CESR,天 雷 滚 滚 纽 约 城【神奇组织53】,人文历史,知识,小约翰可汗,2026-09-04 11:00:00,2410,3078160,12692,5326,36720,38843,3292,150609
5,BV1Este6wExx,https://www.bilibili.com/video/BV1Este6wExx,08年美国讽刺金曲《朋友的酒》（英语填词cover）“空城计の小曲”,AI音乐,音乐,梨茗子,2026-09-01 09:30:00,258,3783719,1657,7842,86477,65157,33285,178641
6,BV1FQtt6JEKs,https://www.bilibili.com/video/BV1FQtt6JEKs,网络热传生物鉴定 第63期,野生动物·动物解说科普,动物,无穷小亮的科普日常,2026-09-03 16:00:00,412,2835414,10905,7396,13715,16705,5679,193654
7,BV12Sto6VEnH,https://www.bilibili.com/video/BV12Sto6VEnH,这只猫，性格好到让我无语,猫,动物,萌宠指南,2026-09-03 18:52:54,115,2338177,2480,5267,34728,3861,7826,260295
8,BV1wote6gEQ1,https://www.bilibili.com/video/BV1wote6gEQ1,《绝区零》克拉蕾角色展示 | 不想培训，但攻略已写好,单人RPG游戏,游戏,绝区零,2026-09-04 12:00:00,706,1710565,8427,11187,31281,46001,27618,129976
9,BV13QtJ67Eo1,https://www.bilibili.com/video/BV13QtJ67Eo1,直到赛前..我都没想到当教练还得出COS啊???🥹 【bilibilionly同人扶持计划】,MOBA游戏,游戏,恩祈儿,2026-09-02 17:07:52,452,2063225,1210,1166,30354,5520,1180,148366
10,BV1BjtE6HExq,https://www.bilibili.com/video/BV1BjtE6HExq,极限挑战——时光大桥,娱乐综艺正片,娱乐,王迅,2026-09-02 11:04:34,184,2063167,1163,4231,11932,30118,4434,185764
11,BV12ctX68Ex6,https://www.bilibili.com/video/BV12ctX68Ex6,致热爱捉宠的你——《伊莫》幕后制作纪录片,其他游戏,游戏,伊莫,2026-09-03 10:00:00,1261,2490062,792,1218,47906,20739,15747,79330
12,BV1potV6SEWY,https://www.bilibili.com/video/BV1potV6SEWY,“小传人”来了（假期拍摄，快乐起来）,应试教育,知识,铭门学府张超,2026-09-01 20:58:28,117,1322140,3515,9045,8464,37952,1156,298595
13,BV15VtZ6oEk7,https://www.bilibili.com/video/BV15VtZ6oEk7,《三角洲行动》全新【群星】赛季故事短片,射击游戏,游戏,三角洲行动,2026-09-04 00:00:00,655,2311605,2757,6604,33525,5287,4572,125390
14,BV16mtU6kEu9,https://www.bilibili.com/video/BV16mtU6kEu9,【warma/怒九】两个大聪明的宇宙冒险！《轨道双子星》实况【更新P3】,其他游戏,游戏,Warma,2026-09-03 00:00:00,10195,1247796,1494,1889,32202,16410,2903,127749
15,BV1p3t36kEEj,https://www.bilibili.com/video/BV1p3t36kEEj,一个外挂100块，从零挑战四款FPS，会遇到多少挂？,射击游戏,游戏,搞机所,2026-09-02 14:00:00,1454,2259151,4759,6296,17520,23220,6891,83483
16,BV1UW8i6tEo1,https://www.bilibili.com/video/BV1UW8i6tEo1,DECO*27 - 洗脳 feat. 初音未来,VOCALOID,音乐,DECO27_Official,2026-09-04 18:05:00,173,338409,5483,5781,36400,33211,11923,76470
17,BV1STtS6fE7B,https://www.bilibili.com/video/BV1STtS6fE7B,星期日：纯路人，我觉得封面很可爱,同人动画,二次元,呵纹Hevon,2026-09-02 19:04:44,162,831763,1463,734,16888,30873,1651,118247
18,BV19Dtd6XEY3,https://www.bilibili.com/video/BV19Dtd6XEY3,这一期视频我不允许任何人漏看！！你们自己要的男生超详细全流程护肤教程！！！！,护肤,时尚美妆,小小小思源哎,2026-09-03 13:57:41,831,778912,538,2181,74652,11515,6154,47138
19,BV1e8tR6EER5,https://www.bilibili.com/video/BV1e8tR6EER5,这次是真玩爽了,演奏,音乐,爱弹琴的Jony,2026-09-03 17:28:07,167,1275134,713,1616,17393,4092,1376,146252
20,BV1gNtS6cEjx,https://www.bilibili.com/video/BV1gNtS6cEjx,谁能想到钓个鱼能这么好笑？渔力全开！,其他游戏,游戏,吊德斯DioDes,2026-09-02 18:54:07,1770,1020269,10984,3600,56613,43974,2903,95309
21,BV1t6tR6rEVT,https://www.bilibili.com/video/BV1t6tR6rEVT,多诺米骨牌,潮玩玩具,生活兴趣,我是明晚,2026-09-03 15:44:45,32,2496949,484,2578,12599,33398,571,326116
22,BV1gptZ6DExF,https://www.bilibili.com/video/BV1gptZ6DExF,《马老师：这世上还是好人多呀》,剧情演绎,小剧场,嘞是唐孃孃,2026-09-03 18:46:09,78,3057699,537,2650,9413,2184,3409,199762
23,BV1KjtS6XEWy,https://www.bilibili.com/video/BV1KjtS6XEWy,不同年代气血很足的美！这是一条气血很足的视频哦,随拍·综合,其他,李如儒也是李蠕蠕,2026-09-02 19:39:11,137,1657449,2114,2244,9681,8693,2224,139656
24,BV1i5tU6NEAd,https://www.bilibili.com/video/BV1i5tU6NEAd,我在日本，找到了被李白杀死的遣唐使,人文历史,知识,有山先生,2026-09-03 17:00:00,1854,885664,7258,2378,23252,70960,3483,75454
25,BV1p5t366EuM,https://www.bilibili.com/video/BV1p5t366EuM,“什么叫程心的威慑度是100%？”,鬼畜综合,鬼畜,自动鬼畜中的WZ,2026-09-01 18:05:00,411,2650288,3199,5894,21818,17538,13194,75639
26,BV12ftJ6rE22,https://www.bilibili.com/video/BV12ftJ6rE22,建水紫陶,传统手工艺,手工,归乡人山白,2026-09-02 22:00:00,699,1080116,3618,1500,12694,41491,2048,94826
27,BV1cHtL6HEGN,https://www.bilibili.com/video/BV1cHtL6HEGN,用羊毛做一只抽象橘猫,轻手作,手工,麋鹿大佬,2026-09-02 12:30:00,77,1911057,724,2189,11987,4062,6265,173597
28,BV1VFtS6eEiA,https://www.bilibili.com/video/BV1VFtS6eEiA,假如夜神月捡到的是《复活笔记》,AI影视,影视,人群当中钻出壹个光头,2026-09-02 19:28:08,375,868488,2264,4485,19943,6815,11899,71885
29,BV1RktJ6pEVy,https://www.bilibili.com/video/BV1RktJ6pEVy,老师也是人,剧情演绎,小剧场,脱缰凯Kk,2026-09-02 17:31:17,198,1250622,1109,2006,8275,3342,1013,99587
30,BV1sxtk6YEGp,https://www.bilibili.com/video/BV1sxtk6YEGp,全B站最垃圾的一期视频,UP主小综艺,小剧场,小潮院长,2026-09-05 07:00:00,1086,737351,8773,3614,23175,38592,1789,84023
31,BV1Ugtb6TE9R,https://www.bilibili.com/video/BV1Ugtb6TE9R,“修仙也爱拍照”,AI影视,影视,剑上一寸雪,2026-08-31 14:32:14,153,1795714,527,2048,44826,8783,6605,151845
32,BV1gZtg6HEtt,https://www.bilibili.com/video/BV1gZtg6HEtt,想让海水更清澈？别再只会提亮度！,摄影摄像,科技数码,那只貂貂,2026-09-01 20:40:00,87,721434,245,1104,87182,8651,3222,94826
33,BV1TZtJ6VEhK,https://www.bilibili.com/video/BV1TZtJ6VEhK,地牢酒馆-24集 《平原劫车行动》,同人动画,二次元,粘土工厂,2026-09-02 16:23:51,233,681651,1527,1833,11031,12442,1007,89919
34,BV13mt76GEfr,https://www.bilibili.com/video/BV13mt76GEfr,每 天 一 遍 🔥 烦 恼 拜 拜！,健身跟练教学,健身,兔总裁s,2026-09-02 12:25:00,74,3452357,1561,2105,26133,8148,6598,96641
35,BV1n1tA67EsT,https://www.bilibili.com/video/BV1n1tA67EsT,把公司当成主题乐园,剧情演绎,小剧场,papi酱,2026-09-01 18:00:00,183,2140756,1886,3335,11024,19992,23072,197542
36,BV1a3th65EQb,https://www.bilibili.com/video/BV1a3th65EQb,西西弗斯推的石头，居然是孙悟空......【AI全民制作人】#SpecialForAAIFF,AI影视,影视,张拉灯,2026-08-31 17:42:48,295,5086376,2020,4207,73299,34630,19680,263713
37,BV1pqtG6CE59,https://www.bilibili.com/video/BV1pqtG6CE59,韩语版《朋友的酒》【韩国大叔Trot版】（空城计の小曲）,AI音乐,音乐,181319,2026-09-02 00:44:36,248,1882690,930,2906,21301,11047,12383,44601
38,BV1RhtV6iEt3,https://www.bilibili.com/video/BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,单人RPG游戏,游戏,明日方舟,2026-09-02 11:00:00,173,2142381,10375,18259,12712,21140,69975,109393
39,BV19Nt962EGj,https://www.bilibili.com/video/BV19Nt962EGj,🐧串好了封侯，串不好的杀头🐧,随拍·综合,其他,盛夏度春风,2026-09-03 11:23:23,66,1279744,724,5508,25093,6032,31640,120849
40,BV1sUtR6KEbd,https://www.bilibili.com/video/BV1sUtR6KEbd,当你觉得自己很没用时：,剧情演绎,小剧场,一串大福,2026-09-04 11:00:00,174,2227737,703,554,21083,2427,540,126084
41,BV1XPtM6SEHv,https://www.bilibili.com/video/BV1XPtM6SEHv,纯手搓的视频，初音会喜欢吗？【bilibilionly同人扶持计划】,同人动画,二次元,利利那TD25,2026-09-01 09:45:04,96,1165188,642,1807,40323,68530,6183,226057
42,BV154tu69EDJ,https://www.bilibili.com/video/BV154tu69EDJ,《和平假面》MV,音乐资讯,音乐,央视网,2026-09-02 09:18:00,126,879336,418,2349,26791,31405,8709,111558
43,BV1h3tg6XEHz,https://www.bilibili.com/video/BV1h3tg6XEHz,《国服安琪拉》,语言类小剧场,小剧场,伤心欲茄222,2026-09-02 12:00:00,129,1505463,1511,3375,7316,3242,4638,126593
44,BV16Hto6aE4v,https://www.bilibili.com/video/BV16Hto6aE4v,桃花源记,剧情演绎,小剧场,累渠_,2026-09-03 20:28:55,127,1315058,485,1069,7016,3983,3630,122251
45,BV1FytU61EkW,https://www.bilibili.com/video/BV1FytU61EkW,从某一刻开始，游戏的性质已经变了【B站笑点大赛】,剧情演绎,小剧场,阿洵快快乐乐,2026-09-02 20:59:06,106,1563688,296,626,12732,2222,1778,127370
46,BV1fEtn6ZE4y,https://www.bilibili.com/video/BV1fEtn6ZE4y,当龙叔出来的时候 瞬间不怕了,影视剪辑,影视,春shy,2026-09-02 18:00:00,99,1685902,201,1053,17763,937,823,111736
47,BV1NhtZ6LE8d,https://www.bilibili.com/video/BV1NhtZ6LE8d,《崩坏：星穹铁道》走近星穹——「砂金•戏浪：苏乐达给了你多少广告费？」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-04 12:00:00,388,675282,8617,13483,8074,12396,2800,62622
48,BV1vQ4Q6rEFR,https://www.bilibili.com/video/BV1vQ4Q6rEFR,这首歌改变了我的人生，并带我走进了中国这个美丽的世界。,原创音乐,音乐,appleby_music,2026-08-30 16:57:13,170,2153877,1402,4405,46848,23316,6840,148071
49,BV1aGtd6SEfh,https://www.bilibili.com/video/BV1aGtd6SEfh,笑死~日本新发现一名铁血精中！！比98%的中国人都愿意爱中国！！,随拍·综合,其他,文同学文案,2026-09-03 17:50:00,411,1289206,4903,5101,12608,2743,8545,61898
50,BV1Y8tn6nE9L,https://www.bilibili.com/video/BV1Y8tn6nE9L,还没擦掉嘴角伊朗儿童的血，他们又来吃中国的“人血馒头”,时政资讯,资讯,环球网,2026-09-02 15:14:19,224,1690337,122,945,3365,958,421,86421
51,BV1kktD69EaX,https://www.bilibili.com/video/BV1kktD69EaX,欢迎来到霍格沃茨的新学年,影视正片搬运,影视,哈利波特,2026-09-02 23:27:32,148,1703915,2660,9938,11665,13230,24665,53540
52,BV1e4tn6pEg6,https://www.bilibili.com/video/BV1e4tn6pEg6,黄 毛 抢 钱 记,剧情演绎,小剧场,马哥巨离谱,2026-09-02 17:25:19,497,1754103,2166,1832,4307,11185,1599,66374
53,BV1XXtd6HEHo,https://www.bilibili.com/video/BV1XXtd6HEHo,阿诺撒……我让你站起来你耳朵🐉吗？,动漫剪辑,二次元,acg阿伦,2026-09-03 13:49:10,231,1137415,622,1499,13132,3531,4207,55095
54,BV1ARte6rEKL,https://www.bilibili.com/video/BV1ARte6rEKL,这一次我们能赢吗？,社会观察,知识,销冠李老板,2026-09-04 11:47:05,32,867321,296,3756,5926,16192,377,175873
55,BV1ZJtu6tEyd,https://www.bilibili.com/video/BV1ZJtu6tEyd,有市无价再创记录！世界最大顶级黄油蟹与巨型松茸的完美邂逅！鱼子酱只配当咸菜？！,美食测评,美食,大祥哥来了,2026-09-01 18:00:00,1012,1644581,3586,1884,16305,81045,5519,97611
56,BV1NQti6HEaC,https://www.bilibili.com/video/BV1NQti6HEaC,“请与我一同，战胜时间的伟力。”,漫画·动态漫,二次元,Mr-Ferret,2026-09-04 14:20:12,93,1194188,320,1815,19944,1840,2007,118950
57,BV1abtE6VE2f,https://www.bilibili.com/video/BV1abtE6VE2f,“我从小抽核弹长大的”，抽一个可变形核弹发射井模型,潮玩玩具,生活兴趣,隔墙总有耳,2026-09-02 11:41:27,89,2101807,1229,8242,14222,12602,10113,90759
58,BV1G7tG6tEwL,https://www.bilibili.com/video/BV1G7tG6tEwL,【何同学】库克时代,商业财经,知识,老师好我叫何同学,2026-09-01 17:00:00,2615,2968273,10819,2871,66364,101932,15339,147696
59,BV1G3t96kE5s,https://www.bilibili.com/video/BV1G3t96kE5s,【加勒比海盗1-3】神级配乐如何成就海盗冒险史诗？,影视解读,影视,小鹿绝招大飞脚,2026-09-03 11:03:45,2560,850378,1781,809,13620,7304,929,64156
60,BV1jct96JE1n,https://www.bilibili.com/video/BV1jct96JE1n,美国拉斯维加斯有点爽！,旅游记录,旅游出行,蓝战非OvO,2026-09-04 11:05:00,1445,841135,5167,2209,7096,16158,4895,70531
61,BV1jVtt6LEjP,https://www.bilibili.com/video/BV1jVtt6LEjP,《异环》灵可角色PV丨宇宙的频段,其他游戏,游戏,异环,2026-09-02 11:00:00,794,2408414,1324,6405,7228,6873,2536,57589
62,BV1bLth6rE1T,https://www.bilibili.com/video/BV1bLth6rE1T,【蕾米埃尔】：入木三分，原来是字面意思？,其他手工,手工,木姬空语,2026-08-31 17:48:57,6891,2787929,2257,4129,17953,32383,5902,156301
63,BV11XtV6HEHc,https://www.bilibili.com/video/BV11XtV6HEHc,炊哥生日加更一期爆蛋炒饭,美食记录,美食,炊哥不加戏,2026-09-01 21:15:57,535,1529553,2687,3390,7988,26080,8062,76682
64,BV1yotm62Eep,https://www.bilibili.com/video/BV1yotm62Eep,【Shorts】ハート111 / Heart111【bilibilionly同人扶持计划】,同人动画,二次元,明石缪,2026-09-03 18:00:00,31,482833,66,1070,36045,9723,2357,112447
65,BV1UvfEB7EX9,https://www.bilibili.com/video/BV1UvfEB7EX9,注意！花少2全集解说，时长共8小时（莫要通宵看）,娱乐综艺正片,娱乐,小灰躺,2026-02-22 12:38:35,29434,5710062,91640,18743,199419,76804,101251,144634
