排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1yuto66E8J,https://www.bilibili.com/video/BV1yuto66E8J,万人追更的终南山怪虫，只有我们拍到了真相！,综合资讯,资讯,中国国家地理,2026-09-04 17:00:00,835,4321538,18484,8222,60579,90793,22870,417296
2,BV12Sto6VEnH,https://www.bilibili.com/video/BV12Sto6VEnH,这只猫，性格好到让我无语,猫,动物,萌宠指南,2026-09-03 18:52:54,115,3006063,3113,6907,45683,5521,10578,338267
3,BV16Htm6rE8n,https://www.bilibili.com/video/BV16Htm6rE8n,午夜轮班，伪人超市,其他游戏,游戏,鲤鱼Ace,2026-09-05 15:42:24,10021,1267577,65734,10797,66050,76722,6446,171329
4,BV1bHtd6CESR,https://www.bilibili.com/video/BV1bHtd6CESR,天 雷 滚 滚 纽 约 城【神奇组织53】,人文历史,知识,小约翰可汗,2026-09-04 11:00:00,2410,3991157,14818,6116,42484,47787,4061,184008
5,BV1FQtt6JEKs,https://www.bilibili.com/video/BV1FQtt6JEKs,网络热传生物鉴定 第63期,野生动物·动物解说科普,动物,无穷小亮的科普日常,2026-09-03 16:00:00,412,3296908,12842,8415,15600,19053,6325,225651
6,BV1e8tR6EER5,https://www.bilibili.com/video/BV1e8tR6EER5,这次是真玩爽了,演奏,音乐,爱弹琴的Jony,2026-09-03 17:28:07,167,2035551,1459,2467,30187,8206,2450,246140
7,BV1wote6gEQ1,https://www.bilibili.com/video/BV1wote6gEQ1,《绝区零》克拉蕾角色展示 | 不想培训，但攻略已写好,单人RPG游戏,游戏,绝区零,2026-09-04 12:00:00,706,2330903,10601,12690,39385,52758,33015,155778
8,BV1sxtk6YEGp,https://www.bilibili.com/video/BV1sxtk6YEGp,全B站最垃圾的一期视频,UP主小综艺,小剧场,小潮院长,2026-09-05 07:00:00,1086,2232093,13643,4819,54492,77830,4054,187477
9,BV1Q5tG6bEX3,https://www.bilibili.com/video/BV1Q5tG6bEX3,【IGN独家】《鸣潮》共鸣者「心」、「锁暝」演示,单人RPG游戏,游戏,IGN中国,2026-09-03 11:00:00,95,4390885,30798,36589,58462,113184,185193,243491
10,BV1UW8i6tEo1,https://www.bilibili.com/video/BV1UW8i6tEo1,DECO*27 - 洗脳 feat. 初音未来,VOCALOID,音乐,DECO27_Official,2026-09-04 18:05:00,173,767708,7583,7473,51067,43448,14922,112129
11,BV1T2ti6REsF,https://www.bilibili.com/video/BV1T2ti6REsF,慢下来，就会死！,其他游戏,游戏,某幻君,2026-09-05 11:30:00,1788,972449,11831,18594,26495,49877,5081,97375
12,BV1P4th6PE81,https://www.bilibili.com/video/BV1P4th6PE81,“用最温柔的方式，体面的告别了这个世界”｜听歌/小曲,电台·歌单,音乐,我爱吃派大星,2026-09-01 08:20:00,287,4587559,21913,9358,44273,23687,4661,432027
13,BV1NQti6HEaC,https://www.bilibili.com/video/BV1NQti6HEaC,“请与我一同，战胜时间的伟力。”,漫画·动态漫,二次元,Mr-Ferret,2026-09-04 14:20:12,93,2558341,587,2996,36927,4004,3835,239089
14,BV1aktB6KEA5,https://www.bilibili.com/video/BV1aktB6KEA5,手机发明之前，人们就是这样手书的……完整版！【bilibilionly同人扶持计划】,同人动画,二次元,杨小谬,2026-09-04 19:23:32,65,1347071,6344,2923,60407,56255,5949,271036
15,BV19Dtd6XEY3,https://www.bilibili.com/video/BV19Dtd6XEY3,这一期视频我不允许任何人漏看！！你们自己要的男生超详细全流程护肤教程！！！！,护肤,时尚美妆,小小小思源哎,2026-09-03 13:57:41,831,952449,644,2704,96727,14864,8108,61900
16,BV1gptZ6DExF,https://www.bilibili.com/video/BV1gptZ6DExF,《马老师：这世上还是好人多呀》,剧情演绎,小剧场,嘞是唐孃孃,2026-09-03 18:46:09,78,3750189,628,3185,12240,2958,4024,250292
17,BV1i5tU6NEAd,https://www.bilibili.com/video/BV1i5tU6NEAd,我在日本，找到了被李白杀死的遣唐使,人文历史,知识,有山先生,2026-09-03 17:00:00,1854,1327610,8939,2850,31545,91139,4598,104109
18,BV15VtZ6oEk7,https://www.bilibili.com/video/BV15VtZ6oEk7,《三角洲行动》全新【群星】赛季故事短片,射击游戏,游戏,三角洲行动,2026-09-04 00:00:00,655,2481731,2978,6978,36812,6025,4839,132079
19,BV12ctX68Ex6,https://www.bilibili.com/video/BV12ctX68Ex6,致热爱捉宠的你——《伊莫》幕后制作纪录片,其他游戏,游戏,伊莫,2026-09-03 10:00:00,1261,2494293,807,1259,47908,20754,15777,79390
20,BV1Xdt26bECx,https://www.bilibili.com/video/BV1Xdt26bECx,我把汉堡搬到了星星上,UP主小综艺,小剧场,李炮炮儿,2026-09-05 17:30:00,250,995204,881,1869,13469,83363,1676,136545
21,BV1t6tR6rEVT,https://www.bilibili.com/video/BV1t6tR6rEVT,多诺米骨牌,潮玩玩具,生活兴趣,我是明晚,2026-09-03 15:44:45,32,2678935,526,2984,14027,37195,660,356637
22,BV1ahtR6mEP1,https://www.bilibili.com/video/BV1ahtR6mEP1,初中因式分解,应试教育,知识,铭门学府张超,2026-09-03 17:37:23,219,657919,841,5658,7040,21881,676,205364
23,BV1ARte6rEKL,https://www.bilibili.com/video/BV1ARte6rEKL,这一次我们能赢吗？,社会观察,知识,销冠李老板,2026-09-04 11:47:05,32,1283610,657,6023,9330,23544,569,262348
24,BV1Este6wExx,https://www.bilibili.com/video/BV1Este6wExx,08年美国讽刺金曲《朋友的酒》（英语填词cover）“空城计の小曲”,AI音乐,音乐,梨茗子,2026-09-01 09:30:00,258,4450191,1957,9335,105222,79894,39226,215481
25,BV1kGto6BEiG,https://www.bilibili.com/video/BV1kGto6BEiG,花600天做一道菜，切开的瞬间发光了！,美食制作,美食,绵羊料理,2026-09-04 17:30:00,417,2566605,6291,1594,18759,33422,2403,108748
26,BV1aGtd6SEfh,https://www.bilibili.com/video/BV1aGtd6SEfh,笑死~日本新发现一名铁血精中！！比98%的中国人都愿意爱中国！！,随拍·综合,其他,文同学文案,2026-09-03 17:50:00,411,1770568,6459,7032,18438,4014,12079,88943
27,BV1jct96JE1n,https://www.bilibili.com/video/BV1jct96JE1n,美国拉斯维加斯有点爽！,旅游记录,旅游出行,蓝战非OvO,2026-09-04 11:05:00,1445,1240615,7173,3245,10615,22340,6887,104183
28,BV1Jpti63EA5,https://www.bilibili.com/video/BV1Jpti63EA5,【苏新皓｜4K直拍】99次我爱他 直拍｜重·二周年演唱会 DAY3,音乐现场,音乐,JUSTSU_苏新皓,2026-09-04 15:27:13,255,159764,191667,100806,17525,27240,19442,27231
29,BV16Hto6aE4v,https://www.bilibili.com/video/BV16Hto6aE4v,桃花源记,剧情演绎,小剧场,累渠_,2026-09-03 20:28:55,127,1783500,614,1291,9932,5125,4394,159344
30,BV1j3t268EPc,https://www.bilibili.com/video/BV1j3t268EPc,【萌黄一槽】幻术吗，什么时候？！宇智波鼬[晓·朱]全技能爆料！,动作竞技游戏,游戏,火影忍者手游情报君,2026-09-05 18:40:31,452,1623085,8160,14687,19297,11512,24160,88900
31,BV1BZtC68EXq,https://www.bilibili.com/video/BV1BZtC68EXq,拉康：我们如何用一生，从别人那里偷来一个“我”？,心理杂谈,知识,大圆镜科普,2026-09-05 07:55:00,489,1276376,1191,1104,20825,2904,2013,90052
32,BV1VFtS6eEiA,https://www.bilibili.com/video/BV1VFtS6eEiA,假如夜神月捡到的是《复活笔记》,AI影视,影视,人群当中钻出壹个光头,2026-09-02 19:28:08,375,1074724,2664,5424,26136,8529,14342,90857
33,BV1s9tf6EE3N,https://www.bilibili.com/video/BV1s9tf6EE3N,我好像找到了特别贴numb numb副歌音效的跳法…,颜值·网红舞,舞蹈,Tutting-Max,2026-09-03 22:11:42,160,503087,565,1399,18109,13703,2441,127684
34,BV1mntg62Ed8,https://www.bilibili.com/video/BV1mntg62Ed8,史上最烂DC电影！万字赤石《超女》！,影视解读,影视,BuriedAlien,2026-09-04 18:00:00,2108,1575609,12898,5345,15502,24433,5147,68835
35,BV16mtU6kEu9,https://www.bilibili.com/video/BV16mtU6kEu9,【warma/怒九】两个大聪明的宇宙冒险！《轨道双子星》实况【完结】,其他游戏,游戏,Warma,2026-09-03 00:00:00,20408,1600234,2126,2032,36692,18588,3246,144048
36,BV1gNtS6cEjx,https://www.bilibili.com/video/BV1gNtS6cEjx,谁能想到钓个鱼能这么好笑？渔力全开！,其他游戏,游戏,吊德斯DioDes,2026-09-02 18:54:07,1770,1447080,15088,4660,73958,58713,3635,125619
37,BV15Xtd6pEA7,https://www.bilibili.com/video/BV15Xtd6pEA7,我们全班都在嘲笑物理老师那支丑爆了的棕色,网文解读,二次元,科普不无聊,2026-09-03 13:50:53,129,1085699,403,1717,21166,1376,655,113984
