排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1eqYx6UE9V,https://www.bilibili.com/video/BV1eqYx6UE9V,我 来 同 你 玩  丨 二洲年快乐,射击游戏,游戏,三角洲行动,2026-09-09 18:01:14,387,8864677,260587,25712,215646,125623,114781,675982
2,BV1WuYh6VEaS,https://www.bilibili.com/video/BV1WuYh6VEaS,【糖果】人类就要冲出太阳系了！然后被宇宙嫌弃了,短剧短片,影视,DiDi_OK,2026-09-10 17:00:00,539,2472554,2663,5330,74991,81380,20847,209174
3,BV1HUY76uEMJ,https://www.bilibili.com/video/BV1HUY76uEMJ,“一饭温情相赠，千里以报恩深.”【红色高跟鞋DJ-降调】【涌泉相报の小曲】,AI音乐,音乐,早睡起大王,2026-09-11 18:30:00,303,1924509,1751,5873,41644,45324,3629,203387
4,BV1odY76aEio,https://www.bilibili.com/video/BV1odY76aEio,校长来啦,剧情演绎,小剧场,脱缰凯Kk,2026-09-11 19:05:58,273,4213709,2375,3641,15528,4388,1462,226815
5,BV1ZqYX6YEsu,https://www.bilibili.com/video/BV1ZqYX6YEsu,模仿派对，配音挑战大赛,其他游戏,游戏,鲤鱼Ace,2026-09-12 18:08:36,2903,2342634,32293,6672,51495,46817,5100,176400
6,BV1tSYx66EvP,https://www.bilibili.com/video/BV1tSYx66EvP,刘慈欣原著授权 |《流浪地球：望日》首支预告片,单人RPG游戏,游戏,流浪地球望日,2026-09-10 11:00:00,220,7736380,6841,13723,75722,66604,44023,221045
7,BV1yjYx6AEp7,https://www.bilibili.com/video/BV1yjYx6AEp7,《崩坏：星穹铁道》砂金•戏浪角色PV——「独家爆料」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-10 12:00:00,439,2568343,14496,12974,47983,68691,17178,213649
8,BV1yuY96rEL7,https://www.bilibili.com/video/BV1yuY96rEL7,《原神》7.1版本PV：「往冥府的安魂歌」,单人RPG游戏,游戏,原神,2026-09-12 21:15:00,1015,1536123,15362,12805,27396,55544,10197,153571
9,BV1bxYV6BEwS,https://www.bilibili.com/video/BV1bxYV6BEwS,《对三骗王炸》,语言类小剧场,小剧场,伤心欲茄222,2026-09-11 12:00:00,108,3952286,1209,4393,11424,4306,8945,286421
10,BV1TEYX62EMp,https://www.bilibili.com/video/BV1TEYX62EMp,思路打开，用擦丝器解锁旋风薯塔！懒人不开火实现烤肉自由，今天的烤猪蹄简直夯爆了！,美食制作,美食,留意炫饭吖,2026-09-12 19:01:57,109,3210348,1129,2333,55372,6472,11091,223953
11,BV1fsYG6JErA,https://www.bilibili.com/video/BV1fsYG6JErA,【warma/怒九】出国！去逛全球最大的游戏展吧！,二次元线下,二次元,Warma,2026-09-11 12:00:00,1719,989668,2901,2166,28191,31610,2861,135266
12,BV1uFYg6fETn,https://www.bilibili.com/video/BV1uFYg6fETn,当我把“大地”穿在身上｜结合自然元素还原绝美大地女神,cosplay,二次元,o小庄o,2026-09-10 18:06:34,218,2781033,662,3404,58395,36911,5705,212508
13,BV1ZXY464EfR,https://www.bilibili.com/video/BV1ZXY464EfR,《阴阳师》十周年庆典现已开启丨送你这样好的「石莲金」,单人RPG游戏,游戏,网易阴阳师手游,2026-09-10 12:30:00,169,2073304,2880,3936,34083,47811,20214,130913
14,BV1iTYp6kEwG,https://www.bilibili.com/video/BV1iTYp6kEwG,「突围吧·少年」 —— 这一次，“突围”不是带出物资,综合资讯,资讯,新华社,2026-09-09 11:00:00,553,2072771,5830,5240,38830,46169,11831,240920
