排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1HBbE6cEc5,https://www.bilibili.com/video/BV1HBbE6cEc5,《下一个是谁》第七季（4）,UP主小综艺,小剧场,力元君,2026-09-06 12:00:00,4428,1669884,83026,11682,92567,310668,10237,245881
2,BV16Htm6rE8n,https://www.bilibili.com/video/BV16Htm6rE8n,午夜轮班，伪人超市,其他游戏,游戏,鲤鱼Ace,2026-09-05 15:42:24,10021,2052008,80783,11798,83632,92801,7709,219151
3,BV1sAbL6tEEC,https://www.bilibili.com/video/BV1sAbL6tEEC,《崩坏：星穹铁道》千星纪游PV——「深水区」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-06 12:00:00,966,2327647,11002,14940,34594,53804,20172,192392
4,BV1aktB6KEA5,https://www.bilibili.com/video/BV1aktB6KEA5,手机发明之前，人们就是这样手书的……完整版！【bilibilionly同人扶持计划】,同人动画,二次元,杨小谬,2026-09-04 19:23:32,65,1890982,8627,3853,87181,80146,9103,371202
5,BV1sxtk6YEGp,https://www.bilibili.com/video/BV1sxtk6YEGp,全B站最垃圾的一期视频,UP主小综艺,小剧场,小潮院长,2026-09-05 07:00:00,1086,2740336,15024,5132,62841,89788,4981,218149
6,BV1Xdt26bECx,https://www.bilibili.com/video/BV1Xdt26bECx,我把汉堡搬到了星星上,UP主小综艺,小剧场,李炮炮儿,2026-09-05 17:30:00,250,1867305,1404,2741,24966,135903,3767,234992
7,BV12Sto6VEnH,https://www.bilibili.com/video/BV12Sto6VEnH,这只猫，性格好到让我无语,猫,动物,萌宠指南,2026-09-03 18:52:54,115,3183928,3286,7278,48074,6064,11475,355857
8,BV1T2ti6REsF,https://www.bilibili.com/video/BV1T2ti6REsF,慢下来，就会死！,其他游戏,游戏,某幻君,2026-09-05 11:30:00,1788,1377411,14177,18523,31554,58928,6321,120802
9,BV1e8tR6EER5,https://www.bilibili.com/video/BV1e8tR6EER5,这次是真玩爽了,演奏,音乐,爱弹琴的Jony,2026-09-03 17:28:07,167,2370222,1672,2814,34983,10351,3200,282290
10,BV1bHtd6CESR,https://www.bilibili.com/video/BV1bHtd6CESR,天 雷 滚 滚 纽 约 城【神奇组织53】,人文历史,知识,小约翰可汗,2026-09-04 11:00:00,2410,4470768,15947,6544,44808,52834,4459,199948
11,BV1UW8i6tEo1,https://www.bilibili.com/video/BV1UW8i6tEo1,DECO*27 - 洗脳 feat. 初音未来,VOCALOID,音乐,DECO27_Official,2026-09-04 18:05:00,173,943743,8173,8144,55984,47089,15945,124133
12,BV1NQti6HEaC,https://www.bilibili.com/video/BV1NQti6HEaC,“请与我一同，战胜时间的伟力。”,漫画·动态漫,二次元,Mr-Ferret,2026-09-04 14:20:12,93,2850578,622,3185,40647,4644,4342,268520
13,BV1wote6gEQ1,https://www.bilibili.com/video/BV1wote6gEQ1,《绝区零》克拉蕾角色展示 | 不想培训，但攻略已写好,单人RPG游戏,游戏,绝区零,2026-09-04 12:00:00,706,2690546,11607,13072,42831,55961,35289,166448
14,BV1Jpti63EA5,https://www.bilibili.com/video/BV1Jpti63EA5,【苏新皓｜4K直拍】99次我爱他 直拍｜重·二周年演唱会 DAY3,音乐现场,音乐,JUSTSU_苏新皓,2026-09-04 15:27:13,255,228745,299162,148762,19294,30714,22733,34789
15,BV1kGto6BEiG,https://www.bilibili.com/video/BV1kGto6BEiG,花600天做一道菜，切开的瞬间发光了！,美食制作,美食,绵羊料理,2026-09-04 17:30:00,417,3187336,7638,1851,21939,40067,3165,128367
16,BV1X5bE62EbZ,https://www.bilibili.com/video/BV1X5bE62EbZ,全网首发！爆肝3天！S11新NPC佐拉、唐吉任务线全流程攻略！完成后送口琴和火箭！可演奏可互动可入局！单人几乎无法完成！,射击游戏,游戏,Key725,2026-09-06 08:43:52,936,931388,8504,5093,73565,19486,21250,66349
17,BV145t66AEfZ,https://www.bilibili.com/video/BV145t66AEfZ,当你吃出口腔溃疡时体内正在发生什么,健康科普,医疗保健,meme小短剧,2026-09-05 10:00:00,202,2359876,753,3257,20531,5899,5152,108188
18,BV1BZtC68EXq,https://www.bilibili.com/video/BV1BZtC68EXq,拉康：我们如何用一生，从别人那里偷来一个“我”？,心理杂谈,知识,大圆镜科普,2026-09-05 07:55:00,489,1557322,1327,1437,25853,4118,2579,106206
19,BV1s9tf6EE3N,https://www.bilibili.com/video/BV1s9tf6EE3N,我好像找到了特别贴numb numb副歌音效的跳法…,颜值·网红舞,舞蹈,Tutting-Max,2026-09-03 22:11:42,160,623345,661,1634,22592,17456,3011,159319
20,BV1jxt16cEdb,https://www.bilibili.com/video/BV1jxt16cEdb,【B萌纪念mv】恭喜千早爱音加冕B萌萌王！【bilibilionly同人扶持计划】,同人动画,二次元,千早爱音萌战应援,2026-09-05 12:30:00,295,440194,397,1117,37904,11474,37810,106420
21,BV1yuto66E8J,https://www.bilibili.com/video/BV1yuto66E8J,万人追更的终南山怪虫，只有我们拍到了真相！,综合资讯,资讯,中国国家地理,2026-09-04 17:00:00,835,5187895,22370,9577,73937,111812,33037,495841
22,BV1gNbH6nEfT,https://www.bilibili.com/video/BV1gNbH6nEfT,给盲人投放弹窗广告？,随拍·综合,其他,销冠李老板,2026-09-06 09:55:55,31,2364047,2828,11604,21425,89964,4677,491687
23,BV1t6tR6rEVT,https://www.bilibili.com/video/BV1t6tR6rEVT,多诺米骨牌,潮玩玩具,生活兴趣,我是明晚,2026-09-03 15:44:45,32,2718468,541,3105,14462,38971,681,366549
24,BV1j3t268EPc,https://www.bilibili.com/video/BV1j3t268EPc,【萌黄一槽】幻术吗，什么时候？！宇智波鼬[晓·朱]全技能爆料！,动作竞技游戏,游戏,火影忍者手游情报君,2026-09-05 18:40:31,452,1946921,9024,15898,22518,13015,25319,100487
25,BV1mntg62Ed8,https://www.bilibili.com/video/BV1mntg62Ed8,史上最烂DC电影！万字赤石《超女》！,影视解读,影视,BuriedAlien,2026-09-04 18:00:00,2108,1879333,14435,5921,16973,27417,5856,79033
26,BV1Fwtq6yErw,https://www.bilibili.com/video/BV1Fwtq6yErw,不同北京人的住处差异,剧情演绎,小剧场,抵抗Resistance,2026-09-04 14:56:56,78,4274994,987,4554,8993,1417,3336,181870
27,BV1rvty6NEpZ,https://www.bilibili.com/video/BV1rvty6NEpZ,拿不下你 我的问题,短剧短片,影视,柯洁,2026-09-05 14:01:35,26,2116681,5425,6173,8143,7244,7901,218821
