排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV18s4k6gESU,https://www.bilibili.com/video/BV18s4k6gESU,如果让专业厨师推荐私藏小店他们会怎么推荐？,美食探店,美食,特厨隋坡,2026-08-30 11:30:00,502,2059716,2539,4076,38037,9757,8893,323802
2,BV16g4y6tEzY,https://www.bilibili.com/video/BV16g4y6tEzY,【大学生就业指导】麦当当薯条N重奏！200块买两斤土豆？不能够了！,美食制作,美食,阿白的金手指厨房,2026-08-29 18:00:42,294,2159283,604,2336,161379,18840,14397,201486
3,BV1YNtb66ErA,https://www.bilibili.com/video/BV1YNtb66ErA,当广告挡住关键时刻，可能就是生死之间,社会资讯,资讯,中国新闻网,2026-08-31 13:36:28,89,2103136,1723,14523,16120,46032,4521,286788
4,BV1o74y6XEcM,https://www.bilibili.com/video/BV1o74y6XEcM,一个人，耗时18个月，2万元成本，手搓94分钟以刘慈欣小说《山》为故事原型的AI仿真人科幻电影【ai全民制作人】#SpecialForAAIFF,AI影视,影视,野生锅导演,2026-08-29 17:51:39,5671,1605811,11525,7036,98767,101711,19915,141695
5,BV1qH4U6iEEy,https://www.bilibili.com/video/BV1qH4U6iEEy,FALSITY…（完整版电影 / 官方正版),沙盒类,游戏,7xqree,2026-08-30 00:36:12,5453,1201151,34165,14464,98813,54251,5949,175550
6,BV1a3th65EQb,https://www.bilibili.com/video/BV1a3th65EQb,西西弗斯推的石头，居然是孙悟空......【AI全民制作人】#SpecialForAAIFF,AI影视,影视,张拉灯,2026-08-31 17:42:48,295,2727198,1356,2524,35420,19342,9589,157845
7,BV1Hy4k64Erk,https://www.bilibili.com/video/BV1Hy4k64Erk,华强见宋老虎 但是唱跳RAP 【多梦综合征】【AI音乐宇宙】,AI音乐,音乐,多梦综合征,2026-08-29 11:44:17,330,3085076,3643,5290,63525,105404,39851,201981
8,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,4114633,19195,20566,88830,658109,36812,729162
9,BV1ZNtA6CExY,https://www.bilibili.com/video/BV1ZNtA6CExY,当你的资产缩水到A0层级，挑选优质桥洞的六大方案！,户外探险,户外潮流,手搓工坊M,2026-08-28 18:18:49,127,5545481,2054,11520,99090,11322,49204,334550
10,BV1xttH6rEKu,https://www.bilibili.com/video/BV1xttH6rEKu,【我在现代当幽差】EP02 神仙？妖怪？谢谢【UP动画】,鬼畜综合,鬼畜,红豆稀饭中,2026-08-30 19:59:16,564,2044234,1946,2946,30111,62697,8961,100783
11,BV1CGtp66EEM,https://www.bilibili.com/video/BV1CGtp66EEM,全程高能！队友接连失踪？活着并逃离这里！！！「逃离疯人院」,沙盒类,游戏,夏天y,2026-08-31 08:00:00,1297,1169981,35064,7151,43977,62531,1931,102657
12,BV1Na4Q64Eos,https://www.bilibili.com/video/BV1Na4Q64Eos,去了一趟西班牙2.0（日全食篇）,旅游记录,旅游出行,影视飓风,2026-08-30 11:00:00,1474,2235696,36995,3106,34782,77613,7308,155706
13,BV1Hj4D6UEw4,https://www.bilibili.com/video/BV1Hj4D6UEw4,穿越原始社会必备技能之制作——石臼,其他手工,手工,w疯狂现代人,2026-08-30 17:05:00,244,2350985,1184,3005,20920,3477,3466,118597
14,BV1Dc4X6iE1J,https://www.bilibili.com/video/BV1Dc4X6iE1J,干中学,剧情演绎,小剧场,脱缰凯Kk,2026-08-30 18:03:51,187,1730829,10612,6210,10953,4245,1396,134827
15,BV1os4U6eEQp,https://www.bilibili.com/video/BV1os4U6eEQp,我求你看看这个节目吧！！！,UP主小综艺,小剧场,力元君,2026-08-30 12:00:00,226,847622,3960,5060,19404,69163,4570,96622
16,BV1Aj4D6UEHB,https://www.bilibili.com/video/BV1Aj4D6UEHB,漂亮的恶意01|误入充满恶意的顶级财阀校园，川渝转学生表示，她真的只想好好学习！,短剧短片,影视,海底蟹黄堡007,2026-08-30 12:37:18,396,1375030,1865,2785,34084,20404,9224,70504
17,BV1be426SEn7,https://www.bilibili.com/video/BV1be426SEn7,《B 界 修 仙 传：长 篇 电 影》,同人动画,二次元,进击的金厂长,2026-08-30 17:30:00,5954,857595,3140,12364,35405,20898,2278,73632
18,BV1mK4X6AE1A,https://www.bilibili.com/video/BV1mK4X6AE1A,“佯作畏生惧死，身担太行脊梁”【赤伶DJ-变速】【少年脊梁の小曲】,电台·歌单,音乐,早睡起大王,2026-08-30 18:00:00,257,1684043,1842,2058,7459,5041,264,148682
19,BV1xT4D6REah,https://www.bilibili.com/video/BV1xT4D6REah,我有不能输的理由,射击游戏,游戏,浅笑微微U,2026-08-30 12:47:02,123,2006547,1466,5351,10325,8397,2714,154625
