排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1eqYx6UE9V,https://www.bilibili.com/video/BV1eqYx6UE9V,我 来 同 你 玩  丨 二洲年快乐,射击游戏,游戏,三角洲行动,2026-09-09 18:01:14,387,8219441,223733,24475,195388,114355,107323,626848
2,BV1VabK62Ea5,https://www.bilibili.com/video/BV1VabK62Ea5,请停留三秒，为毛主席献花，今天9月9日是主席毛泽东逝世50周年的日子，他是中国共产党、中国人民解放军、中华人民共和国的主要缔造者,时政资讯,资讯,大象新闻,2026-09-09 00:00:00,42,2384137,0,140,89173,367680,24087,1338567
3,BV18gtJ6LECq,https://www.bilibili.com/video/BV18gtJ6LECq,《未眠野》首曝PV | 万物都在回应，世界没有答案,其他游戏,游戏,未眠野,2026-09-09 10:00:00,296,12402125,7930,20201,90437,99651,55459,269701
4,BV1tSYx66EvP,https://www.bilibili.com/video/BV1tSYx66EvP,刘慈欣原著授权 |《流浪地球：望日》首支预告片,单人RPG游戏,游戏,流浪地球望日,2026-09-10 11:00:00,220,7321408,5982,13203,71605,64740,42270,210349
5,BV1yjYx6AEp7,https://www.bilibili.com/video/BV1yjYx6AEp7,《崩坏：星穹铁道》砂金•戏浪角色PV——「独家爆料」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-10 12:00:00,439,2402269,13088,12412,43541,64453,16463,196509
6,BV1WuYh6VEaS,https://www.bilibili.com/video/BV1WuYh6VEaS,【糖果】人类就要冲出太阳系了！然后被宇宙嫌弃了,短剧短片,影视,DiDi_OK,2026-09-10 17:00:00,539,1880004,2170,4466,53669,60382,15794,156177
7,BV1iTYp6kEwG,https://www.bilibili.com/video/BV1iTYp6kEwG,「突围吧·少年」 —— 这一次，“突围”不是带出物资,综合资讯,资讯,新华社,2026-09-09 11:00:00,553,1818770,4419,4789,32163,39140,10455,202327
8,BV1xsYn6pEw4,https://www.bilibili.com/video/BV1xsYn6pEw4,《物业费最贵の一集》,语言类小剧场,小剧场,伤心欲茄222,2026-09-09 14:00:00,170,3157590,1931,7952,13298,4001,2036,229744
9,BV1tjb56fEJs,https://www.bilibili.com/video/BV1tjb56fEJs,琵琶曲丨幺幺妻&老牧师,AI音乐,音乐,'-白银silver-,2026-09-08 18:04:40,63,2785505,1761,17688,118354,54070,83588,260730
10,BV1KeY466Ekf,https://www.bilibili.com/video/BV1KeY466Ekf,⚡️ 嘉 豪 の 小 曲 ⚡️,鬼畜综合,鬼畜,哦呼w,2026-09-09 18:18:00,149,2595490,3098,1688,45017,17715,13533,149235
11,BV152b56uEgF,https://www.bilibili.com/video/BV152b56uEgF,花200000买个金丝楠树瘤，放家里藏了10年，锯开一看震惊全场,文玩文创,生活兴趣,老蒋根雕,2026-09-08 16:59:42,287,5266752,31867,20490,15558,7550,4624,140441
12,BV17uY46oESF,https://www.bilibili.com/video/BV17uY46oESF,早期视频，我的世界模拟治疗,沙盒类,游戏,鲤鱼Ace,2026-09-09 16:34:37,1175,1269998,1307,2043,31593,8188,1800,164656
13,BV1uFYg6fETn,https://www.bilibili.com/video/BV1uFYg6fETn,当我把“大地”穿在身上｜结合自然元素还原绝美大地女神,cosplay,二次元,o小庄o,2026-09-10 18:06:34,218,2178099,599,3114,45988,30929,4755,178986
14,BV1TvbV6ZEZF,https://www.bilibili.com/video/BV1TvbV6ZEZF,挑战0元城市生存（1.2）,户外探险,户外潮流,杀心成焚酱,2026-09-08 20:03:16,663,1872838,5852,3772,30375,37640,10430,200062
15,BV1iiYx6JEhL,https://www.bilibili.com/video/BV1iiYx6JEhL,性格好到无语的猫（第二弹）,猫,动物,萌宠指南,2026-09-09 17:14:28,140,1239605,1463,4629,21642,2975,5537,179016
16,BV12PYh62E3c,https://www.bilibili.com/video/BV12PYh62E3c,【影视飓风】iPhone Duo折叠屏真机上手,手机,科技数码,影视飓风,2026-09-10 08:11:38,310,3199334,9088,10662,13360,20132,17547,129023
17,BV1Wpb56REvr,https://www.bilibili.com/video/BV1Wpb56REvr,初中因式分解（假期拍）,应试教育,知识,铭门学府张超,2026-09-08 17:53:22,208,590405,6078,7245,8414,25281,1058,241305
18,BV1kMYb6KEQ9,https://www.bilibili.com/video/BV1kMYb6KEQ9,换一种心跳，感受世界的奇妙——《伊莫》联结玩法实机,其他游戏,游戏,伊莫,2026-09-11 10:00:00,341,1939845,558,901,32886,15502,18767,83547
19,BV13abK62ECA,https://www.bilibili.com/video/BV13abK62ECA,开学舍友把宿舍改造成了海洋馆,UP主小综艺,小剧场,小叮当的伙伴们,2026-09-07 18:10:56,212,2829605,2158,3892,31777,12165,16087,247744
