排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,3073609,13616,15862,63320,465885,27539,532746
2,BV1zCtA6mEay,https://www.bilibili.com/video/BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,单人RPG游戏,游戏,明日方舟,2026-08-29 11:00:00,196,3751912,28668,30871,49731,93106,142521,265212
3,BV1KMhF6dEt1,https://www.bilibili.com/video/BV1KMhF6dEt1,《背心尊者》,语言类小剧场,小剧场,伤心欲茄222,2026-08-27 12:00:00,128,5803625,1946,5853,36483,6978,4825,475471
4,BV1VJ8Q6jEgv,https://www.bilibili.com/video/BV1VJ8Q6jEgv,【苏新皓｜4K直拍】Abracadabra 直拍｜重·二周年演唱会,音乐现场,音乐,JUSTSU_苏新皓,2026-08-26 13:01:35,650,931286,898424,949196,102197,107668,101902,124685
5,BV1Uf8R6jEoC,https://www.bilibili.com/video/BV1Uf8R6jEoC,杭州电梯猥亵案反转：法律给了男邻居清白，但网络舆论的私刑已经执行完了，别让真相的迟到 成为常态,社会资讯,资讯,大象新闻,2026-08-26 21:03:39,115,3488303,6641,30137,28958,44485,14589,461159
6,BV1N1tF6SE2S,https://www.bilibili.com/video/BV1N1tF6SE2S,币圈富豪孙宇晨手撕景甜，索赔3千万彩礼，娱乐圈+金融圈惊天巨瓜！,娱乐评论,娱乐,一只吐槽圆,2026-08-28 08:04:58,728,6831129,35116,20649,37710,18940,109487,163392
7,BV1GrtK62EfT,https://www.bilibili.com/video/BV1GrtK62EfT,《下一个是谁》恐怖特辑——无限循环的寺庙,UP主小综艺,小剧场,雨哥到处跑,2026-08-29 13:00:00,2929,1652525,28721,4459,51118,118454,6933,148610
8,BV1Bktc66EA7,https://www.bilibili.com/video/BV1Bktc66EA7,“无法善终的王。”,漫画·动态漫,二次元,Mr-Ferret,2026-08-28 14:30:44,119,2133580,1009,4223,32888,9896,2552,254752
9,BV1s7tK6AECw,https://www.bilibili.com/video/BV1s7tK6AECw,《小杨有约29#》：陈泽,UP主小综艺,小剧场,小杨Johnson,2026-08-29 14:00:00,681,1824193,12988,4344,46769,81812,8196,166120
10,BV1bMhV6PEtE,https://www.bilibili.com/video/BV1bMhV6PEtE,我被100名警察追捕，抓到我赢50万美金！,随拍·综合,其他,野兽先生MrBeast,2026-08-27 10:51:03,1229,6097769,8796,6416,109541,28146,12570,307019
