排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1VJ8Q6jEgv,https://www.bilibili.com/video/BV1VJ8Q6jEgv,【苏新皓｜4K直拍】Abracadabra 直拍｜重·二周年演唱会,音乐现场,音乐,JUSTSU_苏新皓,2026-08-26 13:01:35,314,867402,802339,833168,101025,105619,98752,122787
2,BV1Jrtc6GEVU,https://www.bilibili.com/video/BV1Jrtc6GEVU,耗时一年，救赎相信光的小女孩，完整后续来了！,随拍·综合,其他,扯淡人生-,2026-08-28 14:37:52,600,2603856,10492,13181,50038,369868,7891,431476
3,BV1Uf8R6jEoC,https://www.bilibili.com/video/BV1Uf8R6jEoC,杭州电梯猥亵案反转：法律给了男邻居清白，但网络舆论的私刑已经执行完了，别让真相的迟到 成为常态,社会资讯,资讯,大象新闻,2026-08-26 21:03:39,115,3439202,6510,29684,28351,43075,14265,454966
4,BV1KMhF6dEt1,https://www.bilibili.com/video/BV1KMhF6dEt1,《背心尊者》,语言类小剧场,小剧场,伤心欲茄222,2026-08-27 12:00:00,128,5301497,1790,5472,32930,6121,4401,433418
5,BV1zCtA6mEay,https://www.bilibili.com/video/BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,单人RPG游戏,游戏,明日方舟,2026-08-29 11:00:00,196,2722645,23725,25592,40677,80273,131898,215303
6,BV1jJhj6pEdA,https://www.bilibili.com/video/BV1jJhj6pEdA,【朱志鑫】DAY-1原创SOLO「I」多机位 4K直拍｜登陆少年重演唱会,音乐现场,音乐,帆_朱志鑫,2026-08-26 01:03:37,241,285810,95811,52004,45588,68250,38206,95583
7,BV1wwhG6JEnc,https://www.bilibili.com/video/BV1wwhG6JEnc,世界伊始——《伊莫》全球上线定档：PC端9月16日 移动端9月23日！,其他游戏,游戏,伊莫,2026-08-26 08:00:00,426,10287483,5719,5792,134663,55483,88226,269042
8,BV1o58Q6UEik,https://www.bilibili.com/video/BV1o58Q6UEik,【本家投稿】東京真中 -  ブレインロット feat. 重音テト,VOCALOID,音乐,東京真中official,2026-08-26 15:00:00,126,1065378,6866,13178,78444,61890,6997,217794
9,BV15EhG6qEAg,https://www.bilibili.com/video/BV15EhG6qEAg,《无限大》定档预告丨27年1月15日全球上线,单人RPG游戏,游戏,无限大,2026-08-26 02:26:11,736,10802432,30916,65781,149719,147229,160567,406718
10,BV1bMhV6PEtE,https://www.bilibili.com/video/BV1bMhV6PEtE,我被100名警察追捕，抓到我赢50万美金！,随拍·综合,其他,野兽先生MrBeast,2026-08-27 10:51:03,1229,5391116,7955,5748,97497,24518,10556,269861
