词,状态,上期排名,上期词频,本期排名,本期词频,排名变化
之律者,新进,,,1425,1,
决定,新进,,,1426,1,
村里,新进,,,1427,1,
婚纱照,新进,,,1428,1,
经历,掉出,40,2,,,
青春,掉出,42,2,,,
知更鸟,掉出,45,2,,,
晴歌,掉出,46,2,,,
追赶,掉出,47,2,,,
方向,掉出,48,2,,,
宝箱,掉出,50,2,,,
乐园,掉出,51,2,,,
国产,掉出,52,2,,,
舒服,掉出,124,1,,,
星际,掉出,161,1,,,
一巴掌,掉出,162,1,,,
淘金,掉出,180,1,,,
黄金,掉出,181,1,,,
赌局,掉出,183,1,,,
凤凰古城,掉出,234,1,,,
一位,掉出,236,1,,,
无臂,掉出,237,1,,,
白天,掉出,239,1,,,
写字,掉出,241,1,,,
谋生,掉出,242,1,,,
磨难,掉出,243,1,,,
坚毅,掉出,245,1,,,
向阳,掉出,246,1,,,
点个,掉出,247,1,,,
王中王,掉出,248,1,,,
夺冠,掉出,249,1,,,
自战,掉出,250,1,,,
大美,掉出,262,1,,,
山歌,掉出,263,1,,,
过瘾,掉出,264,1,,,
面值,掉出,269,1,,,
人出,掉出,280,1,,,
奥黛塔来,掉出,281,1,,,
冬快,掉出,282,1,,,
coser,掉出,285,1,,,
僵尸,掉出,293,1,,,
收集,掉出,350,1,,,
千星城,掉出,351,1,,,
无名,掉出,352,1,,,
尘灵,掉出,353,1,,,
变奏,掉出,354,1,,,
狸猫,掉出,356,1,,,
战利品,掉出,357,1,,,
jump,掉出,359,1,,,
浮脂,掉出,360,1,,,
溯源,掉出,361,1,,,
纪念币,掉出,362,1,,,
贴心,掉出,363,1,,,
动物,掉出,365,1,,,
朋克,掉出,366,1,,,
实机,掉出,367,1,,,
动作,掉出,369,1,,,
新游,掉出,370,1,,,
单机,掉出,390,1,,,
湮灭,掉出,391,1,,,
之潮,掉出,392,1,,,
宣传片,掉出,394,1,,,
旧日,掉出,395,1,,,
之纱,掉出,396,1,,,
堪比,掉出,401,1,,,
海啸,掉出,402,1,,,
厉害,掉出,405,1,,,
王者,掉出,409,1,,,
荣耀,掉出,410,1,,,
一直,掉出,411,1,,,
公正,掉出,412,1,,,
绝不会,掉出,413,1,,,
偏袒,掉出,414,1,,,
贱谍,掉出,424,1,,,
过家家,掉出,425,1,,,
蒙眼,掉出,431,1,,,
泥坑,掉出,432,1,,,
绳子,掉出,433,1,,,
恐惧,掉出,434,1,,,
高中,掉出,442,1,,,
男同学,掉出,444,1,,,
老公,掉出,446,1,,,
老婆,掉出,447,1,,,
青涩,掉出,448,1,,,
纯爱,掉出,449,1,,,
漫画,掉出,450,1,,,
离婚,掉出,452,1,,,
ooo,掉出,458,1,,,
有变,掉出,459,1,,,
接下来,掉出,463,1,,,
一万,掉出,464,1,,,
这家,掉出,465,1,,,
剁椒面,掉出,466,1,,,
坚持,掉出,478,1,,,
最后,掉出,479,1,,,
我爷,掉出,480,1,,,
做成,掉出,481,1,,,
百万,掉出,483,1,,,
录音棚,掉出,484,1,,,
试听,掉出,485,1,,,
万台,掉出,486,1,,,
召回,掉出,487,1,,,
讲清楚,掉出,489,1,,,
国外,掉出,491,1,,,
早熟,掉出,492,1,,,
这要,掉出,493,1,,,
一杯,掉出,496,1,,,
物语,掉出,497,1,,,
坐电梯,掉出,498,1,,,
下楼,掉出,499,1,,,
弱者,掉出,500,1,,,
思维,掉出,501,1,,,
男生女生,掉出,502,1,,,
向前,掉出,503,1,,,
轮椅,掉出,504,1,,,
四世,掉出,505,1,,,
轮回,掉出,506,1,,,
回到,掉出,507,1,,,
身边,掉出,508,1,,,
一部,掉出,510,1,,,
csol,掉出,513,1,,,
灾变,掉出,514,1,,,
剧情,掉出,516,1,,,
