排名,BV号,视频链接,视频标题,视频分区,主分区,UP主,发布时间（北京时间）,视频时长（秒）,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数
1,BV1HBbE6cEc5,https://www.bilibili.com/video/BV1HBbE6cEc5,《下一个是谁》第七季（4）,UP主小综艺,小剧场,力元君,2026-09-06 12:00:00,4428,2540032,105945,13733,113751,390983,22950,317415
2,BV1sAbL6tEEC,https://www.bilibili.com/video/BV1sAbL6tEEC,《崩坏：星穹铁道》千星纪游PV——「深水区」,单人RPG游戏,游戏,崩坏星穹铁道,2026-09-06 12:00:00,966,2558528,12307,15133,37504,59327,21084,210042
3,BV1W3bK6cE37,https://www.bilibili.com/video/BV1W3bK6cE37,《阴阳师》石长姬CG丨拾光永恒（CV：小清水亚美）,单人RPG游戏,游戏,网易阴阳师手游,2026-09-07 19:23:19,331,2314190,3538,4156,47575,36201,19289,129664
4,BV1Utbp6WE2s,https://www.bilibili.com/video/BV1Utbp6WE2s,早期视频，逃离电视宝宝联机，绝命逃亡,随拍·综合,其他,鲤鱼Ace,2026-09-06 16:04:07,1398,1040013,14314,7877,33948,21655,4265,120199
5,BV145t66AEfZ,https://www.bilibili.com/video/BV145t66AEfZ,当你吃出口腔溃疡时体内正在发生什么,健康科普,医疗保健,meme小短剧,2026-09-05 10:00:00,202,3837231,1091,4955,32948,10325,8364,162549
6,BV1UBbL6YEtN,https://www.bilibili.com/video/BV1UBbL6YEtN,华强买瓜，但死神来了,鬼畜综合,鬼畜,伊介书生,2026-09-05 22:35:45,436,2976577,3445,3013,31269,32311,15308,126381
7,BV1Xdt26bECx,https://www.bilibili.com/video/BV1Xdt26bECx,我把汉堡搬到了星星上,UP主小综艺,小剧场,李炮炮儿,2026-09-05 17:30:00,250,2564982,1753,3667,33326,177556,5332,310878
8,BV1C9b76cEks,https://www.bilibili.com/video/BV1C9b76cEks,《绝区零》克拉蕾EP | Link Up 血火相连,原创音乐,音乐,绝区零,2026-09-06 12:00:00,199,2403486,1915,7313,38050,60362,15131,127292
9,BV1wKbs67Emc,https://www.bilibili.com/video/BV1wKbs67Emc,孤岛小夫 第三集,同人动画,二次元,派之新,2026-09-07 12:02:02,675,1747908,1329,1998,30144,10237,6401,107633
10,BV1jxt16cEdb,https://www.bilibili.com/video/BV1jxt16cEdb,【B萌纪念mv】恭喜千早爱音加冕B萌萌王！【bilibilionly同人扶持计划】,同人动画,二次元,千早爱音萌战应援,2026-09-05 12:30:00,295,673658,600,1566,76865,23618,54401,193296
11,BV1tgbW6RE6W,https://www.bilibili.com/video/BV1tgbW6RE6W,【终末地1.5】全网最强基建！划时代创新科技！颠覆你对基建深度的认知！,单人RPG游戏,游戏,斯改,2026-09-06 21:59:23,904,975247,859,4618,52772,28444,13191,57575
12,BV1Akbw6WECj,https://www.bilibili.com/video/BV1Akbw6WECj,乌克兰的军统和中统内斗,时政解读,知识,燕三嘤嘤嘤,2026-09-07 11:50:00,1316,1689606,9145,4580,15964,25709,2848,103396
13,BV1eBbH6ZEL9,https://www.bilibili.com/video/BV1eBbH6ZEL9,怎么有网友让我走到西藏啊…,旅游记录,旅游出行,拉宏桑,2026-09-06 18:23:42,801,2065761,9745,4151,8254,23062,4730,124819
14,BV1X5bE62EbZ,https://www.bilibili.com/video/BV1X5bE62EbZ,全网首发！爆肝3天！S11新NPC佐拉、唐吉任务线全流程攻略！完成后送口琴和火箭！可演奏可互动可入局！单人几乎无法完成！,射击游戏,游戏,Key725,2026-09-06 08:43:52,936,1506449,10181,7454,106111,26435,25816,91356
15,BV138bP6gEvx,https://www.bilibili.com/video/BV138bP6gEvx,假如你生活在十万人的宿舍,AI影视,影视,阿丸焖居,2026-09-07 18:05:00,311,1918964,1388,1946,14901,6631,2942,110565
16,BV1afbn6sExH,https://www.bilibili.com/video/BV1afbn6sExH,我去了世界最大的男女混浴温泉瀑布，泡起来到底多刺激？,旅游记录,旅游出行,兔兔不会秃秃,2026-09-06 11:27:41,746,2283228,3481,3301,32211,23054,10953,79028
17,BV1Mabw6cEzV,https://www.bilibili.com/video/BV1Mabw6cEzV,地表42度，美国飞行员开战斗机冲上万米高空，竟是为了做冰淇淋？【AI全民制作人】,AI影视,影视,墨八分钱,2026-09-07 11:06:49,119,1529397,464,2819,18627,1528,979,130025
18,BV1xrbs6pEjp,https://www.bilibili.com/video/BV1xrbs6pEjp,月捐数年“无人问” 停捐一月遭“催捐”？四川单亲妈妈自曝“寒心”经历 多名网友评论区晒同款经历,社会资讯,资讯,闪电新闻,2026-09-06 19:12:27,104,2110025,1335,12431,5721,3167,2372,156556
19,BV19Btm6fEJo,https://www.bilibili.com/video/BV19Btm6fEJo,《杜鹃》,UP主小综艺,小剧场,是许木木啊,2026-09-06 17:25:00,3324,736860,4897,1869,20337,25311,2029,78060
20,BV1HXbP6sEBq,https://www.bilibili.com/video/BV1HXbP6sEBq,立志成为恶兽第三集【AI全民制作人】,AI影视,影视,立志成为恶兽,2026-09-07 13:38:05,204,1685285,796,1510,11631,19937,2905,78434
21,BV1gNbH6nEfT,https://www.bilibili.com/video/BV1gNbH6nEfT,给盲人投放弹窗广告？,随拍·综合,其他,销冠李老板,2026-09-06 09:55:55,31,3868292,7660,18979,37173,142080,7273,765087
22,BV1yuto66E8J,https://www.bilibili.com/video/BV1yuto66E8J,万人追更的终南山怪虫，只有我们拍到了真相！,综合资讯,资讯,中国国家地理,2026-09-04 17:00:00,835,5970675,25885,10902,86691,134538,36529,575264
23,BV11dbH6LEm2,https://www.bilibili.com/video/BV11dbH6LEm2,香槟射马云、舞女十八蹲！许家印从首富到白毛萝莉的一生【网络狠人114】,商业财经,知识,喵喵即正义,2026-09-06 16:48:22,513,1996061,3204,2939,14521,3127,5188,77888
24,BV1GAbW68EcH,https://www.bilibili.com/video/BV1GAbW68EcH,三年之期已到，恭迎世一上归位！【第7集】,AI影视,影视,九夜听风,2026-09-06 14:42:19,401,1895236,6398,5326,7772,50775,15950,56277
25,BV1KFtr6aEoc,https://www.bilibili.com/video/BV1KFtr6aEoc,出界就死（2）,随拍·综合,其他,高斯Goh,2026-09-07 18:00:00,1298,1173635,7037,1672,26129,29419,1372,72777
26,BV1VabK62Ea5,https://www.bilibili.com/video/BV1VabK62Ea5,请停留三秒，为毛主席献花，今天9月9日是主席毛泽东逝世50周年的日子，他是中国共产党、中国人民解放军、中华人民共和国的主要缔造者,时政资讯,资讯,大象新闻,2026-09-09 00:00:00,42,590614,0,143,15629,74743,6457,314526
27,BV1v2bN67EoC,https://www.bilibili.com/video/BV1v2bN67EoC,“支援未来”,剧情演绎,小剧场,古泽源,2026-09-07 20:31:20,38,2021342,136,3518,13740,1289,740,185129
28,BV1wybV6QEaN,https://www.bilibili.com/video/BV1wybV6QEaN,商业鬼才,剧情演绎,小剧场,脱缰凯Kk,2026-09-08 18:48:11,283,970316,1370,942,8237,10480,1453,94467
